bno	uno	pno	szdiv
1	69	57	S(1),M(0),L(2),XL(1)
2	19	26	S(0),M(1),L(2),XL(2)
3	55	8	S(0),M(1),L(1),XL(0)
4	33	44	S(0),M(2),L(0),XL(0)
5	1	52	S(2),M(2),L(2),XL(1)
6	84	42	S(2),M(1),L(1),XL(0)
7	39	50	S(0),M(0),L(2),XL(2)
8	6	53	S(2),M(0),L(0),XL(0)
9	1	11	S(1),M(0),L(0),XL(2)
10	32	57	S(1),M(2),L(0),XL(1)
11	63	30	S(1),M(2),L(2),XL(2)
12	39	42	S(1),M(0),L(1),XL(2)
13	53	72	S(2),M(1),L(1),XL(0)
14	57	32	S(0),M(2),L(1),XL(1)
15	61	53	S(2),M(2),L(2),XL(1)
16	29	67	S(0),M(0),L(1),XL(2)
17	34	7	S(0),M(0),L(1),XL(1)
18	91	60	S(0),M(1),L(1),XL(0)
19	39	19	S(0),M(2),L(2),XL(2)
20	81	49	S(0),M(0),L(0),XL(2)
21	9	4	S(1),M(1),L(0),XL(1)
22	78	5	S(2),M(1),L(0),XL(0)
23	80	11	S(1),M(0),L(0),XL(1)
24	21	67	S(0),M(0),L(2),XL(1)
25	36	32	S(2),M(2),L(2),XL(1)
26	85	2	S(1),M(0),L(1),XL(1)
27	18	55	S(1),M(0),L(1),XL(0)
28	13	12	S(2),M(2),L(2),XL(0)
29	11	41	S(1),M(1),L(2),XL(1)
30	80	70	S(1),M(0),L(0),XL(1)
31	82	2	S(0),M(2),L(2),XL(1)
32	90	1	S(1),M(0),L(1),XL(2)
33	47	68	S(0),M(1),L(0),XL(0)
34	53	64	S(1),M(1),L(1),XL(2)
35	50	41	S(2),M(2),L(2),XL(2)
36	12	6	S(0),M(0),L(2),XL(0)
37	59	14	S(2),M(0),L(0),XL(1)
38	47	66	S(2),M(2),L(1),XL(1)
39	15	2	S(1),M(2),L(1),XL(0)
40	28	4	S(1),M(1),L(0),XL(0)
41	27	51	S(0),M(0),L(0),XL(1)
42	13	41	S(0),M(2),L(0),XL(0)
43	43	65	S(2),M(1),L(1),XL(0)
44	17	8	S(2),M(2),L(2),XL(2)
45	77	72	S(1),M(1),L(1),XL(0)
46	70	4	S(2),M(0),L(2),XL(1)
