p_no	p_division	p_name	c_no	price	S	M	L	XL
1	A001	여성티셔츠	1	35300	7	3	3	7
2	A002	여성맨투맨	1	26100	0	10	1	9
3	A003	여성블라우스	1	36400	0	0	0	0
4	A004	여성원피스	1	21700	5	10	0	6
5	A005	여성정장	1	42900	5	3	4	1
6	A006	여성후드집업	1	39500	3	9	1	5
7	A007	여성니트	1	30100	0	9	10	8
8	A008	여성아우터	1	37700	5	8	5	4
9	A009	여성코트	1	18000	0	6	5	8
10	A010	남성티셔츠	1	20900	10	3	9	0
11	A011	남성맨투맨	1	30000	5	10	1	7
12	A012	남성화이셔츠	1	39000	5	3	3	1
13	A013	남성수트	1	22200	5	7	8	10
14	A014	남성후드집업	1	29300	7	7	0	10
15	A015	남성니트	1	16600	4	4	10	4
16	A016	남성아우터	1	20700	2	10	1	9
17	A017	남성코트	1	17800	7	5	2	0
18	B001	여성슬랙스	2	29400	6	9	7	2
19	B002	여성청바지	2	19600	4	9	9	8
20	B003	여성레깅스	2	31300	2	10	0	3
21	B004	여성반바지	2	43400	5	4	9	6
22	B005	여성면바지	2	49700	8	7	1	1
23	B006	여성스커트	2	20100	0	4	1	7
24	B007	남성슬랙스	2	37600	3	5	10	8
25	B008	남성청바지	2	40500	3	4	1	10
26	B009	남성반바지	2	17700	1	7	7	8
27	B010	남성면바지	2	13200	10	0	9	7
28	C001	여성정장구두	3	28500	9	8	10	3
29	C002	여성샌들	3	37700	4	8	1	0
30	C003	여성슬리퍼	3	33000	3	6	3	4
31	C004	여성운동화	3	28500	3	9	5	6
32	C006	여성스니커즈	3	12700	9	9	3	10
33	C007	여성플랫로퍼	3	49400	4	8	5	10
34	C008	남성정장구두	3	22200	1	3	5	3
35	C009	남성샌들	3	15500	0	0	8	0
36	C010	남성슬리퍼	3	16900	5	0	3	1
37	C011	남성운동화	3	36600	0	0	9	8
38	C013	남성스니커즈	3	35600	4	10	3	7
39	D001	여성요가	4	17100	6	9	5	3
40	D002	여성필라테스	4	22500	3	6	5	10
41	D003	여성수영복	4	43300	2	7	6	6
42	D004	여성발레복	4	11700	5	6	0	8
43	D005	여성발레슈즈	4	25600	7	9	7	10
44	D006	여성등산화	4	39900	6	10	0	9
45	D007	여성바람막이	4	21100	2	1	6	3
46	D008	여성등산바지	4	21500	3	9	1	7
47	D009	여성트레이닝복	4	48000	9	6	7	4
48	D010	여성골프바지	4	21100	8	5	4	1
49	D011	골프치마	4	24200	4	8	3	4
50	D012	남성수영복	4	16500	3	0	7	8
51	D013	남성등산화	4	30300	7	4	2	4
52	D014	남성등산바지	4	10200	7	8	2	3
53	D015	남성트레이닝복	4	31500	7	9	9	6
54	D016	남성등산복상의	4	36500	10	7	2	6
55	D017	남성골프바지	4	12100	4	1	3	0
56	E001	여성목도리	5	49100	0	4	4	4
57	E002	여성스카프	5	34300	6	4	10	5
58	E003	여성장갑	5	10500	0	9	9	7
59	E004	여성벙어리장갑	5	34900	10	5	8	5
60	E005	여성부츠	5	46400	2	7	10	1
61	E006	여성숏패딩	5	26500	6	8	2	4
62	E007	여성롱패딩	5	24000	3	5	9	8
63	E008	여성넥워머	5	29600	7	1	3	5
64	E009	남성목도리	5	21300	5	5	1	2
65	E010	남성스카프	5	49600	9	1	9	3
66	E011	남성장갑	5	28000	5	7	5	4
67	E012	남성벙어리장갑	5	17700	10	7	3	0
68	E013	어그부츠	5	36300	6	4	4	4
69	E014	남성숏패딩	5	28900	10	1	4	6
70	E015	남성롱패딩	5	23700	9	2	0	9
71	E016	남성넥워머	5	49500	9	1	1	1
72	F001	배냇저고리	6	25600	7	1	4	6
73	F002	여아우주복	6	23800	5	9	1	2
74	F003	여아원피스	6	21700	9	9	10	2
75	F004	여아롬퍼	6	37800	2	5	0	1
76	F005	여아레그	6	25400	8	4	6	1
77	F006	여아스패트	6	24600	5	3	7	5
78	F007	여아보행기신발	6	17300	8	7	6	2
79	F008	여아걸음마신발	6	41800	5	0	2	10
80	F009	여아드레스	6	39700	8	4	3	5
81	F010	아기모자	6	18900	4	6	3	0
82	F011	남아우주복	6	48700	0	8	4	7
83	F012	남아바디슈트	6	14900	6	5	1	9
84	F013	남아롬퍼	6	10000	5	10	6	0
85	F014	손싸게	6	38800	0	7	3	1
86	F015	턱받이	6	11700	0	6	6	0
87	F016	남아보행기신발	6	40500	1	9	8	1
88	F017	남아걸음마신발	6	47000	5	2	9	2
89	F018	남아상하복세트	6	47200	3	7	10	7
90	G001	목걸이	7	18900	1	2	2	0
91	G002	귀걸이	7	24100	8	3	1	1
92	G003	머리핀	7	26800	0	0	7	9
93	G004	실반지	7	35500	9	8	0	8
94	G005	반지	7	14400	0	7	10	10
95	G006	집게핀	7	16000	4	4	4	6
96	G007	머리띠	7	43900	6	5	4	2
97	G008	곱창밴드	7	10000	5	1	6	5
98	G009	커프스	7	20300	9	10	6	10
99	G010	팔찌	7	17900	0	6	7	10
100	G011	넥타이	7	18600	5	0	4	9
