phno	uno	pno	date	size	state
1	79	39	2023-08-01	S(0),M(1),L(1),XL(2)	3
2	46	68	2023-08-01	S(0),M(0),L(1),XL(1)	4
3	79	36	2023-08-01	S(2),M(2),L(0),XL(2)	3
4	66	11	2023-08-01	S(0),M(1),L(0),XL(2)	2
5	51	2	2023-08-01	S(2),M(0),L(1),XL(2)	5
6	69	97	2023-08-01	S(0),M(2),L(1),XL(2)	4
7	64	52	2023-08-01	S(1),M(1),L(2),XL(0)	3
8	7	9	2023-08-01	S(1),M(2),L(2),XL(1)	3
9	54	50	2023-08-01	S(0),M(2),L(0),XL(2)	6
10	81	49	2023-08-01	S(1),M(1),L(2),XL(2)	5
11	90	71	2023-08-01	S(0),M(2),L(0),XL(2)	2
12	38	13	2023-08-01	S(2),M(0),L(0),XL(1)	2
13	24	75	2023-08-01	S(1),M(2),L(0),XL(1)	1
14	73	43	2023-08-01	S(2),M(1),L(2),XL(2)	1
15	15	1	2023-08-01	S(0),M(0),L(2),XL(1)	3
16	41	90	2023-08-01	S(2),M(2),L(2),XL(2)	6
17	79	66	2023-08-01	S(1),M(2),L(1),XL(0)	2
18	71	62	2023-08-01	S(1),M(2),L(1),XL(0)	5
19	87	5	2023-08-01	S(0),M(0),L(0),XL(2)	6
20	45	59	2023-08-01	S(0),M(1),L(0),XL(1)	1
21	83	75	2023-08-01	S(2),M(0),L(2),XL(1)	5
22	79	75	2023-08-02	S(1),M(0),L(1),XL(1)	2
23	73	9	2023-08-02	S(0),M(0),L(2),XL(1)	6
24	2	8	2023-08-02	S(2),M(2),L(0),XL(0)	2
25	92	60	2023-08-02	S(1),M(2),L(2),XL(0)	4
26	99	37	2023-08-02	S(0),M(2),L(0),XL(1)	3
27	62	96	2023-08-02	S(1),M(0),L(0),XL(2)	4
28	31	92	2023-08-02	S(0),M(1),L(1),XL(0)	2
29	96	15	2023-08-02	S(2),M(1),L(1),XL(0)	1
30	23	53	2023-08-02	S(0),M(1),L(0),XL(2)	5
31	84	24	2023-08-02	S(1),M(1),L(0),XL(2)	5
32	89	79	2023-08-02	S(2),M(0),L(2),XL(1)	1
33	44	4	2023-08-02	S(1),M(1),L(0),XL(2)	5
34	32	50	2023-08-02	S(1),M(0),L(1),XL(1)	2
35	14	65	2023-08-02	S(0),M(1),L(0),XL(0)	5
36	86	27	2023-08-02	S(1),M(0),L(0),XL(2)	5
37	76	71	2023-08-02	S(1),M(2),L(0),XL(2)	3
38	46	31	2023-08-02	S(2),M(2),L(0),XL(2)	4
39	83	84	2023-08-02	S(1),M(2),L(0),XL(0)	4
40	53	56	2023-08-02	S(1),M(0),L(0),XL(2)	4
41	63	89	2023-08-02	S(1),M(1),L(2),XL(0)	4
42	40	50	2023-08-02	S(2),M(1),L(2),XL(2)	3
43	24	67	2023-08-02	S(2),M(1),L(2),XL(1)	6
44	64	25	2023-08-02	S(0),M(1),L(1),XL(0)	6
45	52	36	2023-08-03	S(2),M(0),L(1),XL(1)	5
46	88	50	2023-08-03	S(0),M(2),L(2),XL(1)	5
47	10	3	2023-08-03	S(1),M(1),L(1),XL(1)	1
48	1	82	2023-08-03	S(2),M(2),L(1),XL(1)	5
49	44	93	2023-08-03	S(1),M(0),L(1),XL(1)	3
50	97	99	2023-08-03	S(2),M(1),L(1),XL(2)	2
51	77	55	2023-08-03	S(0),M(2),L(0),XL(1)	3
52	55	44	2023-08-03	S(1),M(1),L(2),XL(1)	3
53	56	96	2023-08-03	S(0),M(2),L(0),XL(2)	6
