f_no	f_name	f_tag	division
1	견과류	불포화지방, 피로회복	F
2	계란 노른자	비타민D 풍부, 두뇌 건강	E
3	고구마	식이섬유 풍부, 변비도움	B
4	고등어	동맥경화 예방, 뇌졸증 예방	A
5	고추	감기예방, 항산화	H
6	굴	면역 도움, 피부 건강	H
7	다시마	동맥경화  예방, 뇌졸증 예방	H
8	다크초콜릿	플라보노이드	E
9	당근	비타민A풍부, 항산화	D
10	돼지고기	비타민B 풍부, 단백질 풍부	F
11	들기름	혈관질환 도움, 콜레스테롤 관리	A
12	마	피부건강, 소화도우미	C
13	멸치	근육통 완화, 칼슘 보충	G
14	무	전분 분해, 비타민C 풍부	F
15	물	수분충전, 노페물배출	I
16	바나나	변비도움, 소화도움	B
17	뱅어포	뼈건강, 골다공증 예방	G
18	버섯	뼈 튼튼, 고혈압 도움	G
19	블루베리	안토시아닌	D
20	뼈다귀해장국	아르기닌풍부, 혈관건강	A
21	석류	피부건강, 갱년기예방	C
22	소고기	성장발육, 보양도움	H
23	시금치	눈질환 예방, 항산화	D
24	아욱	눈건강, 염증완화	D
25	연어	중성지방 관리, 뇌세포 발달도움	E
26	오이	수분가득, 피부미용	C
27	요거트	유산균, 장건강	B
28	찜닭	아르기닌풍부, 혈관건강	A
29	치즈	칼슘 풍부, 골다공증 예방	G
30	키위	담백질 소화, 식이섬유 풍부	B
31	토마토	라이코펜, 유산균	E
32	호두	동맥경화 예방, 피부노화 방지	C
33	홍삼	면역강화, 피로개선	F
