h_no	d_no	p_no
1	1	52
2	1	10
3	1	54
4	1	53
5	1	74
6	1	73
7	1	41
8	1	45
9	1	46
10	1	47
11	1	44
12	1	26
13	1	32
14	1	1
15	1	43
16	1	6
17	1	21
18	2	52
19	2	22
20	2	56
21	2	58
22	2	57
23	2	63
24	2	64
25	2	20
26	2	24
27	3	31
28	3	67
29	3	68
30	3	72
31	3	47
32	3	50
33	3	12
34	3	28
35	3	39
36	3	11
37	3	40
38	3	9
39	4	48
40	4	51
41	4	71
42	4	70
43	4	35
44	4	38
45	4	34
46	4	76
47	4	75
48	4	69
49	4	78
50	4	77
51	4	27
52	5	33
53	5	62
54	5	7
55	5	30
56	5	65
57	5	13
58	5	36
59	6	56
60	6	23
61	6	37
62	6	8
63	6	6
64	6	5
65	6	4
66	6	19
67	6	15
68	6	14
69	6	21
70	7	52
71	7	10
72	7	22
73	7	58
74	7	57
75	7	64
76	7	3
77	7	2
78	7	59
79	7	61
80	7	17
81	7	18
82	7	21
83	8	10
84	8	56
85	8	64
86	8	20
87	8	61
88	9	56
89	9	64
90	9	20
91	9	24
92	9	47
93	9	76
94	9	1
95	9	7
96	9	3
97	9	60
98	9	29
99	10	38
100	10	9
101	10	60
102	10	25
103	10	16
104	6	42
105	4	49
106	9	55
107	10	55
108	7	66
109	4	66
110	6	66
111	8	66
112	7	31
