o_no	u_no	p_no	o_count	d_no	o_find	o_push	o_date
1	16	52	1	1	2	2	2023-10-13
2	30	52	1	1	1	1	2023-07-20
3	21	52	2	7	1	1	2023-06-30
4	2	10	1	1	1	1	2023-10-13
5	5	10	1	7	1	1	2023-07-20
6	9	10	2	7	1	1	2023-06-30
7	9	22	1	2	1	1	2023-09-06
8	4	22	1	2	1	2	2023-08-26
9	14	22	1	2	1	2	2023-08-12
10	5	22	1	2	1	2	2023-09-18
11	48	22	1	7	1	1	2023-09-30
12	30	58	1	7	1	2	2023-10-10
13	22	57	1	2	1	2	2023-06-01
14	4	57	1	2	1	2	2023-08-03
15	7	57	1	7	1	1	2023-05-21
16	35	63	2	2	1	2	2023-07-07
17	37	63	1	2	1	1	2023-10-01
18	14	20	1	8	1	1	2023-09-30
19	32	20	1	8	1	1	2023-07-03
20	4	20	1	8	1	1	2023-05-25
21	31	20	1	8	1	1	2023-06-24
22	41	20	1	9	1	1	2023-07-17
23	29	20	1	9	1	2	2023-06-03
24	24	20	1	9	1	2	2023-06-15
25	13	24	1	2	1	1	2023-09-19
26	17	24	1	9	1	1	2023-06-29
27	32	24	1	9	1	1	2023-06-22
28	35	24	1	9	1	1	2023-08-07
29	50	24	1	2	1	2	2023-08-31
30	5	31	1	3	2	2	2023-06-21
31	18	31	1	3	2	2	2023-06-12
32	47	31	2	3	1	1	2023-08-28
33	9	31	1	3	1	1	2023-06-24
34	20	31	1	3	1	1	2023-08-08
35	35	31	1	3	1	1	2023-07-24
36	14	31	1	3	1	2	2023-09-18
37	27	31	1	3	1	2	2023-10-06
38	26	31	1	3	2	2	2023-09-26
39	41	31	1	3	1	1	2023-08-24
40	42	67	1	3	1	1	2023-07-22
41	16	67	1	3	1	1	2023-08-03
42	5	67	1	3	1	2	2023-07-14
43	19	67	1	3	1	2	2023-09-06
44	14	68	1	3	1	1	2023-09-21
45	33	68	1	3	1	1	2023-09-10
46	36	68	1	3	1	1	2023-08-11
47	50	68	1	3	1	1	2023-08-30
48	37	68	1	3	1	2	2023-06-15
49	46	68	1	3	2	2	2023-08-13
50	47	68	1	3	1	2	2023-05-17
51	2	68	1	3	1	1	2023-05-20
52	14	72	1	3	1	1	2023-06-05
53	34	72	1	3	1	1	2023-06-16
54	11	72	1	3	1	1	2023-09-28
55	16	72	1	3	1	1	2023-10-13
56	47	72	2	3	1	2	2023-07-04
57	8	54	1	1	2	2	2023-07-04
58	6	54	1	1	1	1	2023-06-25
59	41	54	1	1	1	2	2023-05-30
60	43	54	1	1	1	1	2023-08-22
61	49	54	1	1	1	1	2023-09-22
62	14	53	1	1	1	1	2023-10-01
63	50	53	1	1	1	2	2023-08-08
64	9	53	1	1	1	1	2023-10-10
65	11	53	3	1	1	2	2023-06-02
66	12	53	1	1	1	1	2023-06-28
67	33	53	1	1	1	1	2023-06-09
68	39	53	1	1	1	1	2023-08-03
69	38	53	1	1	1	1	2023-09-25
70	22	74	1	1	1	1	2023-07-30
71	36	74	1	1	1	1	2023-10-09
72	14	74	1	1	1	1	2023-06-15
73	1	74	1	1	1	1	2023-10-10
74	8	74	1	1	2	2	2023-06-16
75	30	74	1	1	2	2	2023-06-15
76	40	74	1	1	1	1	2023-08-12
77	13	73	1	1	1	2	2023-09-03
78	47	73	3	1	1	1	2023-10-01
79	36	73	1	1	1	1	2023-06-19
80	14	73	1	1	1	1	2023-05-31
81	9	73	1	1	1	1	2023-09-10
82	5	73	1	1	1	2	2023-08-23
83	1	73	1	1	1	2	2023-08-02
84	10	42	1	6	1	1	2023-07-25
85	16	42	1	6	1	1	2023-08-29
86	24	42	1	6	1	2	2023-06-07
87	26	42	1	6	1	1	2023-07-31
88	41	42	1	6	1	1	2023-05-23
89	48	42	1	6	1	2	2023-05-23
90	49	42	3	6	1	1	2023-08-22
91	5	41	1	1	1	1	2023-07-28
92	1	41	1	1	2	2	2023-07-29
93	6	41	1	1	2	2	2023-07-28
94	7	41	1	1	2	2	2023-06-25
95	15	41	1	1	1	1	2023-09-21
96	7	45	1	1	1	1	2023-10-02
97	1	45	1	1	1	1	2023-06-13
98	10	45	1	1	1	1	2023-06-08
99	12	45	1	1	1	1	2023-08-03
100	19	45	1	1	1	2	2023-08-31
101	42	45	1	1	1	1	2023-06-06
102	44	46	1	1	1	1	2023-09-09
103	49	46	1	1	1	1	2023-05-24
104	41	46	1	1	1	2	2023-07-28
105	8	47	1	3	1	1	2023-09-15
106	1	49	1	4	1	1	2023-07-24
107	41	49	1	4	1	1	2023-05-24
108	46	50	1	3	1	1	2023-07-16
109	47	50	1	3	1	2	2023-08-13
110	32	48	2	4	1	1	2023-08-28
111	16	51	1	4	1	1	2023-09-21
112	14	51	1	4	1	1	2023-07-26
113	5	51	1	4	1	1	2023-08-10
114	6	51	1	4	1	2	2023-06-04
115	36	51	1	4	1	1	2023-08-24
116	30	51	1	4	1	1	2023-08-31
117	20	71	1	4	1	1	2023-09-11
118	17	71	1	4	1	1	2023-07-02
119	15	71	1	4	1	1	2023-09-21
120	19	71	1	4	1	1	2023-07-01
121	7	71	1	4	1	2	2023-09-08
122	8	71	1	4	1	1	2023-10-03
123	12	70	3	4	2	2	2023-06-10
124	23	44	1	1	1	1	2023-09-10
125	15	44	1	1	1	1	2023-08-23
126	4	44	1	1	1	2	2023-07-15
127	4	35	1	4	1	1	2023-08-11
128	6	35	1	4	1	2	2023-06-05
129	1	35	1	4	1	2	2023-09-29
130	9	35	1	4	1	1	2023-06-22
131	21	38	5	10	1	1	2023-07-18
132	16	38	1	10	1	2	2023-07-07
133	32	38	1	10	1	1	2023-07-05
134	15	38	1	10	1	1	2023-06-24
135	17	38	1	10	1	1	2023-06-08
136	16	78	1	4	1	1	2023-06-28
137	5	77	1	4	1	1	2023-08-23
138	7	77	1	4	1	1	2023-07-12
139	1	77	1	4	1	2	2023-08-02
140	15	27	1	4	1	2	2023-08-12
141	30	27	7	4	1	1	2023-07-19
142	16	33	1	5	1	1	2023-09-19
143	17	33	1	5	1	1	2023-07-13
144	13	33	1	5	1	2	2023-10-06
145	20	62	1	5	1	1	2023-08-31
146	26	26	1	1	1	1	2023-06-11
147	28	26	1	1	1	1	2023-08-04
148	31	26	1	1	1	1	2023-09-19
149	26	32	1	1	1	1	2023-07-29
150	24	32	1	1	1	1	2023-05-18
