p_no	p_name	p_detail	c_no	p_price	p_discount	p_num
1	나트롤 비오틴 10,000 에프티	하루를 채우는 달콤한 33,300% 충전 비오틴, 하루 한알 츄어블 타입으로 쉽고 간편하게 섭취 가능한 비오틴	16	17000	0	1
2	더알티지 오메가3	독일 KD파마사의 최신 초임계 공법으로 정제한 고급 rTG 원료로 만든 프리미엄 알티지오메가3. 알이 작아 목넘김이 편하고 비린내가 덜 한 고객 섭취 편의를 생각한 제품입니다.	15	30000	0	1
3	더징크디 2000IU	믿을 수 있는 건조효모 유래 아연과 비타민D 2000IU를 하루 1알로 편하게 섭취 가능한 제품입니다	15	35000	0	1
4	더폴릭포 대디	임신 준비 기간 동안 남성 건강 관리에 도움이 되는 남성용 엽산 400ug와 아연, 셀레늄, 비타민 C/D/E 등 엽산 기능을 강화할 수 있는 성분을 함유하고 있습니다.	15	30000	0	1
5	더폴릭포 마미	먹기 편한 연질 캡슐 형태로 엽산 800ug와 비타민 B군을 하루 한 알로 간편하게 섭취할 수 있는 여성용 엽산 베스트셀러입니다.	15	30000	0	1
6	더헴철포 우먼	흡수율이 높고 위장장애가 적은 고급 헴철 원료를 사용한 프리미엄 철분제, 빈혈증상 개선을 위한 판토텐산,비타민D 성분이 추가되었습니다.	15	30000	0	1
7	도필러스 이피에스	50억 보장 프리미엄 장 유산균 자로우 도필러스 이피에스, 특수 코팅된 장용성 캡슐으로 살아서 장까지 안착, 3대 유산균 기업 캐나다 로셀사의 프리미엄 균주.	12	33900	6	1
8	루테인	필리 루테인은 인도 카르나타카에서 재배된 마리골드꽃추출물을 사용하고 어두운 곳에서 시각 적응을 위해 필요한 비타민A를 포함하여 우수한 품질관리를 통해 만들었습니다.	14	10600	0	1
9	밀크씨슬	필리 밀크씨슬은 유럽산 밀크씨슬을 이용하고 우수한 품질관리를 통해 만들었습니다.	9	11300	0	1
10	보라지유 감마리놀렌산	월경전 증후군에 도움이 되는 여성 영양제	1	27900	41	1
11	비타민B	필리 비타민B는 7가지 주요 비타민B군의 비타민을 충분히 섭취할 수 있고 우수한 품질관리를 통해 만들었습니다.	8	12000	0	1
12	비타민C	필리 비타민C는 품질이 좋은 영국 DSM사의 비타민C 원료와 셀레늄, 아연을 포함하여 우수한 품질관리를 통해 만들었습니다.	7	11900	0	1
13	스업윔	남성에게 필요한 멀티비타민 미네랄의 황금밸런스, 항산화 작용을 하는 라이코펜/비타민ACE 함유, 임신준비에 필요한 아연과 엽산 적정량 함유	11	45000	20	1
14	스텝1 에이밸런스 유산균	분유나 이유식만으로 부족할 수 있는 기초영양을 보충하고 튼튼한 장 환경 형성과 피부 건강에 도움을 줄 수 있는 영아용 건강기능식품입니다.	18	19000	20	1
15	스텝2 스마트 키즈큐	다양한 경험을 시작하는 유아기에 필요한 영양성분을 맛있는 스틱형 젤리 형태로 만든 5중 기능성 건강기능식품입니다.	18	49000	20	1
16	알러케어	흡수율 높은 글루콘산 아연과 항산화 비타민C의 황금배합에 무설탕 천연 포도맛을 더했습니다.	18	22900	30	1
