q_no	q_detail	division	q_gender
1	불편하시거나 걱정되는 3가지를 선택하세요.	I	3
2	키를 입력해 주세요.	I	3
3	몸무게를 입력해 주세요.	I	3
4	혈관/혈액 순환	A	3
5	소화/장	B	3
6	피부	C	3
7	눈	D	3
8	두뇌활동	E	3
9	피로감	F	3
10	뼈와 관절	G	3
11	면역	H	3
12	해당되는 것을 모두 선택하세요.	I	3
13	가족이 갖고 있는 질환을 모두 선택하세요.	I	3
14	건강검진을 하신지 얼마나 되셨나요?	I	3
15	여성분들을 위한 질문입니다. 해당되는 것을 모두 선택하세요.	I	2
16	기호식품 섭취 습관을 모두 선택하세요.	I	3
17	일주일에 운동을 얼마나 하시나요?	I	3
18	하루에 햇빛을 받으며 야외활동을 얼마나 하나요?	I	3
19	식습관을 모두 선택하세요.	I	3
20	해당되는 것을 모두 선택하세요.	I	3
21	평소 영양제 섭취를 어떻게 하시나요?	I	3
22	남성분들을 위한 질문 입니다. 해당되는 것을 모두 선택하세요.	I	1
