r_no	p_no	u_no	r_detail	r_score	r_incense	r_taste	r_effect	r_money	r_throat	r_open	r_date
1	52	30	꾸준히 잘 사용하고 있습니다!	4			100	90		2	2023-10-14
2	52	21	타사 제품에 비해 더 저렴해서 항상 여기서만 구매합니다! 	4			100	90		1	2023-10-13
3	10	2	생리통때문에 불편했는데 효과가 좋아요 ㅜㅜ	5	100	100	90	100	80	1	2023-10-12
4	10	5	여자친구한테 사줬는데 잘 쓰고 있다고 하네요	4	90	100	90	80	90	1	2023-10-10
5	10	9	잘 챙겨 먹고 있어요!!	5	90	100	90	100	100	1	2023-10-10
6	22	9	꾸준히 먹는게 좋다고 해서 3년째 먹고 있어요. 작아서 삼키기도 편해요!	4	90	100	90	100	100	1	2023-09-13
7	22	4	여성이라면 반드시 먹어야 할 필요까진 없는거 같아요	3	90	80	70	40	70	2	2023-10-02
8	22	14	저희 나이대 여성분들은 많은 도움을 받은거 같진 않아요	2	100	90	70	40	70	2	2023-09-17
9	22	5	저희 어머님께서 다시는 사오지 말래요	2	90	70	70	50	70	2	2023-08-27
10	22	48	한 두달 먹고 한 몇개월치는 다시 살거 같아요 좋아요!!	5	100	100	90	90	80	1	2023-05-29
11	58	30	계단올라갈때마다 무릎이 아팠는데 보호대 차도 아프네요	2			40	90		1	2023-10-08
12	57	22	잘 사용하지 못할거 같아요	2			50	100		1	2023-10-08
13	57	4	너무 커서 흘러 내리네요	3			50	80		2	2023-05-28
14	57	7	더이상 무릎이 다칠일이 없어 너무 좋습니다	5			90	40		1	2023-10-12
15	63	35	이거 사용하고도 다쳤는데 별로네요	2			40	50		1	2023-10-08
16	63	37	맨날 차고 다닙니다. 꽤 괜찮네요.	5			100	80		2	2023-10-06
17	20	14	요즘 관절이 안좋은거 같은데 이거 먹고 좋아지면 좋겠어요	5	90	80	90	90	80	2	2023-09-29
18	20	32	관절 아파서 먹는데 많이 좋아졌어요	4	90	70	80	50	80	2	2023-07-12
19	20	4	관절 생각하는거면 이제품 추천해요	4	90	90	90	80	80	1	2023-08-18
20	20	31	관절엔 역시 엠에스엠이죠!!	5	100	80	90	90	90	2	2023-08-24
21	20	41	나이먹고 먹지만 좋네요	4	100	90	90	80	100	2	2023-08-21
22	20	29	먹어도 딱히 효과는 못봤어요	3	90	90	45	90	100	2	2023-07-30
23	20	24	오래 먹었는데 돈만 버린 기분..	2	80	70	40	40	100	1	2023-08-31
24	24	13	친구 추천으로 구매해봤는데 아직은 잘 모르겠어요.	5	80	100	90	50	100	2	2023-10-03
25	24	17	비타민 D 가 효능일 정말 많아서 일단  비타민 D 만 구매해봤어요! 	5	90	100	90	90	100	1	2023-10-03
26	24	32	효과는 잘 모르겠지만 안 챙겨먹는 것보단 낫겠죠?	5	80	90	90	90	90	2	2023-10-02
27	24	35	잘 챙겨 먹도록 하겠습니다!	4	90	100	60	70	90	2	2023-10-01
28	24	50	그냥 햇빛 받는게 좋아요..	2	80	70	40	40	80	2	2023-09-15
29	31	47	먹기도 편하고 좋네요 또 구매 할게요	4	90	90	80	80	90	1	2023-10-15
30	31	9	맛도 좋고 영양도 좋고 추천해요~	4	80	100	80	90	80	2	2023-06-25
31	31	20	우리 아이 간식 처럼 먹여요ㅎㅎ	5	100	100	60	80	80	2	2023-09-05
32	31	35	맛있게 몸 건강을 지키니 좋네요	4	100	100	80	90	70	1	2023-09-23
33	31	14	너무 달아서 못먹겠어요	2	100	50	45	80	90	1	2023-05-27
34	31	27	몸생각하면서 먹는데 오히려 치아가 나빠질듯..	2	80	50	40	80	100	1	2023-06-08
35	31	41	어르신분들도 쉽게 드시고 좋네요	5	90	100	100	90	80	1	2023-10-09
36	67	42	유자민트향이 제일 맛있어요 ㅜㅜ	4			80	90		1	2023-10-01
37	67	16	화한게 덜해서 좋은 것 같아요	4			100	90		1	2023-09-30
38	67	5	민트 향도 약해가지고 잘 모르겠어요	1			40	80		1	2023-07-02
39	67	19	유자맛만 가면 좋지 않았을까요..?	2			40	80		1	2023-09-04
40	68	14	자일리톨이라 믿음이 갑니다 잘 사용 할게요.	5			100	40		2	2023-09-30
41	68	33	치아건강에 많은 도움 받습니다	5			90	80		2	2023-09-28
42	68	36	정말 상쾌해서 좋아요 추천해요!	5			80	80		1	2023-10-06
43	68	50	꼭사세요 꼭!! 추천합니다!!	5			90	40		1	2023-10-01
44	68	37	맛이 너무 없어요..맵기도 하구..	2			40	80		1	2023-07-02
45	68	47	다른 치약들과 다른점을 모르겠어요	2			50	80		1	2023-08-31
46	68	2	제가 민트 좋아하거든요ㅎㅎ 향도 좋고 맛도 좋아요	4			90	90		1	2023-10-06
47	72	14	치과의사들이 꼭 치실 사용하라 하셔서 찾아보다가 친구 추천으로 구매했어요 잘 사용하고 있습니다.	5			100	80		2	2023-09-30
48	72	34	치실 처음쓰는데 좋아요	4			90	40		1	2023-05-18
49	72	11	치아건강에 치실이 꼭 필요하군요	4			80	80		1	2023-08-12
50	72	16	있과 없고 차이가 있내요 번창하세요	4			90	80		2	2023-07-28
51	72	47	왜 이런걸 쓰는지..이물질도 잘 안없어짐	2			90	90		1	2023-09-24
52	54	6	친환경 생각해서 한 묶음 샀어요	5			90	80		2	2023-07-22
53	54	41	솔이 너무 약하네요 오래 못쓰겠어요	2			50	40		2	2023-09-09
54	54	43	가족들 하나씩 줄려고요ㅎㅎ	4			90	80		2	2023-07-01
55	54	49	정말 혁신정인 제품이에요 많이 파세요	5			90	90		1	2023-05-18
56	53	14	이걸 왜 지금껏 몰랐지 싸고 좋네요	5			90	80		2	2023-09-05
57	53	50	솔이 그냥 소나무 잎인마냥 약하네요	2			50	40		2	2023-07-21
58	53	9	단단해서 오래 쓸거같아요!	5			80	90		1	2023-06-21
59	53	11	솔이 계속 빠져서 못쓰겟어요	2			40	40		1	2023-08-22
60	53	12	친구한테도 사라고 추천했어요ㅋㅋ	4			80	80		1	2023-06-19
61	53	33	가격대비 성능이 정말 좋네요	4			90	80		1	2023-08-25
62	53	39	치석 제거도 좋아요 번창하세요~!	4			90	90		1	2023-08-26
63	53	38	하나 사서 오래 쓸수 있을거같아요	5			80	80		2	2023-06-16
64	74	22	이 상쾌함 정말 좋네요 못끊을거 같아요	4			90	80		2	2023-09-09
65	74	36	내 입을 위해 투자 한번 해보시는거 어떠나요?	4			90	90		2	2023-09-26
66	74	14	민트 향도 좋네요 다른제품 많이 만들어주세요	4			90	80		2	2023-10-10
67	74	1	용량도 정당해서 좋은거 같아요	5			90	100		1	2023-06-20
68	74	40	살균된다는 느낌이 확실하네요	5			80	80		1	2023-09-24
69	73	13	너무 민트향이 별로에요 다른거 쓰는게 좋을거 같아요	2			60	40		1	2023-09-20
70	73	47	다른 제품과는 확연한 차이가 있네요	5			80	80		2	2023-06-06
71	73	36	아침에 시간 없을때 정말 좋아요	4			80	80		2	2023-06-11
72	73	14	상쾌하게 하루를 시작할수 있어 좋아요	4			80	90		2	2023-09-03
73	73	9	민트 좋아하는데 향이 정말 좋네요	4			80	80		1	2023-09-02
74	73	5	몇 번쓰다가 금방 써버리네요..	2			45	20		2	2023-05-28
75	73	1	살균되는지는 모르겠고 화한거는 너무 쌔요	3			45	50		1	2023-09-22
76	42	10	아침 건강에 좋은거 같요	5	100	80	90	90		1	2023-08-20
77	42	16	요리할때 항상 이재품 사용해요	4	100	100	100	80		2	2023-05-21
78	42	24	코코넛은 잘 모르겠네요..향나는것도 아니고..	2	65	70	45	80		2	2023-09-10
79	42	26	카놀라유보다는 이게 더 좋아요	5	90	90	100	90		1	2023-09-26
80	42	41	건강한 요리를 원하면 이걸 쓰세요	5	90	80	100	80		2	2023-06-27
81	42	48	용량이 너무 적어요 조금 더 늘려주세요	2	100	100	45	40		2	2023-05-21
82	42	49	포장도 깔끔히 왔네요 감사합니다	2	100	100	90	80		2	2023-09-29
83	41	5	콘스프맛이 정말 좋아요 잘먹을게요	4	90	100	90	90		1	2023-05-29
84	41	15	우리 아이도 좋아해요 잘먹어요	4	90	90	80	80		1	2023-09-14
85	45	7	너무 맛있어요 …. 맨날 먹고 있어요.	5	90	90	100	100		1	2023-09-27
86	45	1	건강식품이라 기대 안  했는데 너무 맛있네요 	5	90	90	90	90		1	2023-09-25
87	45	10	맛있어서 재구매 하려고 합니다.	5	90	90	90	90		1	2023-09-25
88	45	12	너무 맛있는데요?? 또 사먹을게요.	5	90	90	90	90		1	2023-09-25
89	45	19	프로틴이라 그런가 맛이 정말 없네요	2	80	70	40	40		1	2023-06-16
