RVNO	UNO	RNO	DATE
1	83	9	2023-09-01
2	38	18	2023-09-01
3	34	9	2023-09-01
4	80	18	2023-09-01
5	81	16	2023-09-01
6	84	8	2023-09-01
7	52	16	2023-09-01
8	4	15	2023-09-01
9	20	14	2023-09-01
10	34	11	2023-09-01
11	60	4	2023-09-01
12	49	2	2023-09-01
13	83	2	2023-09-01
14	5	2	2023-09-01
15	99	1	2023-09-01
16	59	1	2023-09-01
17	37	17	2023-09-02
18	2	18	2023-09-02
19	39	7	2023-09-02
20	22	19	2023-09-02
21	53	5	2023-09-02
22	12	13	2023-09-02
23	36	11	2023-09-02
24	32	16	2023-09-02
25	76	12	2023-09-02
26	11	14	2023-09-02
27	37	2	2023-09-02
28	45	1	2023-09-02
29	66	2	2023-09-02
30	71	4	2023-09-02
31	48	2	2023-09-02
32	7	4	2023-09-02
33	27	6	2023-09-03
34	71	17	2023-09-03
35	75	18	2023-09-03
36	76	17	2023-09-03
37	44	16	2023-09-03
38	44	8	2023-09-03
39	3	14	2023-09-03
40	78	12	2023-09-03
41	4	12	2023-09-03
42	62	8	2023-09-03
43	38	14	2023-09-03
44	73	4	2023-09-03
45	35	4	2023-09-03
46	97	3	2023-09-03
47	44	2	2023-09-03
48	6	4	2023-09-03
49	48	4	2023-09-03
50	93	3	2023-09-03
51	19	6	2023-09-04
52	88	6	2023-09-04
53	58	9	2023-09-04
54	85	6	2023-09-04
55	57	17	2023-09-04
56	37	13	2023-09-04
57	43	14	2023-09-04
58	25	16	2023-09-04
59	83	8	2023-09-04
60	83	15	2023-09-04
61	85	10	2023-09-04
62	62	12	2023-09-04
63	65	10	2023-09-04
64	19	1	2023-09-04
65	27	4	2023-09-04
66	44	3	2023-09-04
67	69	2	2023-09-04
68	12	6	2023-09-05
69	19	6	2023-09-05
70	45	5	2023-09-05
71	45	5	2023-09-05
72	97	13	2023-09-05
73	3	10	2023-09-05
74	25	12	2023-09-05
75	25	12	2023-09-05
76	49	12	2023-09-05
77	96	10	2023-09-05
78	57	10	2023-09-05
79	76	16	2023-09-05
80	23	12	2023-09-05
81	82	3	2023-09-05
82	33	1	2023-09-05
83	57	1	2023-09-05
84	30	3	2023-09-05
85	28	9	2023-09-06
86	56	17	2023-09-06
87	59	6	2023-09-06
88	77	17	2023-09-06
89	21	18	2023-09-06
90	31	20	2023-09-06
91	10	12	2023-09-06
92	66	10	2023-09-06
93	89	12	2023-09-06
94	88	11	2023-09-06
95	33	10	2023-09-06
96	39	4	2023-09-06
97	45	3	2023-09-06
98	64	18	2023-09-07
99	67	17	2023-09-07
100	50	17	2023-09-07
101	73	7	2023-09-07
102	73	13	2023-09-07
103	25	14	2023-09-07
104	71	16	2023-09-07
105	54	8	2023-09-07
106	32	15	2023-09-07
107	95	15	2023-09-07
108	23	12	2023-09-07
109	23	15	2023-09-07
110	15	11	2023-09-07
111	36	2	2023-09-07
112	3	3	2023-09-07
113	43	1	2023-09-07
