tno	UNO	DATE	division
1	83	2023-09-01	3
2	38	2023-09-01	1
3	34	2023-09-01	2
4	80	2023-09-01	1
5	81	2023-09-01	2
6	84	2023-09-01	3
7	52	2023-09-01	1
8	4	2023-09-01	3
9	20	2023-09-01	1
10	60	2023-09-01	2
11	49	2023-09-01	1
12	5	2023-09-01	3
13	99	2023-09-01	3
14	59	2023-09-01	1
15	37	2023-09-02	1
16	2	2023-09-02	2
17	39	2023-09-02	1
18	22	2023-09-02	1
19	53	2023-09-02	3
20	12	2023-09-02	3
21	36	2023-09-02	2
22	32	2023-09-02	3
23	76	2023-09-02	1
24	11	2023-09-02	1
25	45	2023-09-02	3
26	66	2023-09-02	1
27	71	2023-09-02	1
28	48	2023-09-02	3
29	7	2023-09-02	2
30	27	2023-09-03	1
31	71	2023-09-03	2
32	75	2023-09-03	1
33	76	2023-09-03	3
34	44	2023-09-03	2
35	3	2023-09-03	3
36	78	2023-09-03	1
37	4	2023-09-03	1
38	62	2023-09-03	3
39	38	2023-09-03	1
40	73	2023-09-03	2
41	35	2023-09-03	3
42	97	2023-09-03	1
43	6	2023-09-03	3
44	48	2023-09-03	3
45	93	2023-09-03	1
46	19	2023-09-04	2
47	88	2023-09-04	1
48	58	2023-09-04	3
49	85	2023-09-04	3
50	57	2023-09-04	3
51	37	2023-09-04	3
52	43	2023-09-04	2
53	25	2023-09-04	1
54	83	2023-09-04	1
55	62	2023-09-04	1
56	65	2023-09-04	3
57	27	2023-09-04	3
58	44	2023-09-04	2
59	69	2023-09-04	2
60	12	2023-09-05	1
61	19	2023-09-05	3
62	45	2023-09-05	2
63	97	2023-09-05	3
64	3	2023-09-05	3
65	25	2023-09-05	3
66	49	2023-09-05	3
67	96	2023-09-05	3
68	57	2023-09-05	3
69	76	2023-09-05	1
70	23	2023-09-05	2
71	82	2023-09-05	3
72	33	2023-09-05	2
73	30	2023-09-05	2
74	28	2023-09-06	2
75	56	2023-09-06	3
76	59	2023-09-06	2
77	77	2023-09-06	3
78	21	2023-09-06	2
79	31	2023-09-06	3
80	10	2023-09-06	3
81	66	2023-09-06	3
82	89	2023-09-06	2
83	88	2023-09-06	2
84	33	2023-09-06	3
85	39	2023-09-06	2
86	45	2023-09-06	1
87	64	2023-09-07	3
88	67	2023-09-07	1
89	50	2023-09-07	2
90	73	2023-09-07	3
91	25	2023-09-07	3
92	71	2023-09-07	1
93	54	2023-09-07	1
94	32	2023-09-07	3
95	95	2023-09-07	3
96	23	2023-09-07	1
97	15	2023-09-07	2
98	36	2023-09-07	2
99	3	2023-09-07	1
100	43	2023-09-07	1
101	5	2023-09-07	1
102	24	2023-09-08	1
103	34	2023-09-08	1
104	88	2023-09-08	2
105	41	2023-09-08	3
106	56	2023-09-08	3
107	72	2023-09-08	3
108	80	2023-09-08	3
109	47	2023-09-08	1
110	97	2023-09-08	3
111	6	2023-09-08	1
112	3	2023-09-08	3
113	49	2023-09-08	2
114	69	2023-09-08	3
115	61	2023-09-08	2
116	79	2023-09-09	2
117	74	2023-09-09	1
118	77	2023-09-09	2
119	15	2023-09-09	1
120	45	2023-09-09	2
121	12	2023-09-09	2
122	19	2023-09-09	3
123	27	2023-09-09	3
124	25	2023-09-09	1
125	58	2023-09-09	1
126	68	2023-09-09	2
127	32	2023-09-09	1
128	90	2023-09-09	1
129	61	2023-09-09	3
130	14	2023-09-09	2
131	97	2023-09-09	2
132	41	2023-09-10	3
133	95	2023-09-10	3
134	12	2023-09-10	3
135	27	2023-09-10	3
136	52	2023-09-10	2
137	83	2023-09-10	2
138	87	2023-09-10	1
139	34	2023-09-10	1
140	47	2023-09-10	2
141	15	2023-09-10	2
142	31	2023-09-10	1
143	90	2023-09-10	3
144	76	2023-09-10	1
145	51	2023-09-11	2
146	71	2023-09-11	2
147	17	2023-09-11	2
148	63	2023-09-11	3
149	52	2023-09-11	2
150	96	2023-09-11	2
151	7	2023-09-11	2
152	31	2023-09-11	1
153	24	2023-09-11	2
154	95	2023-09-11	2
155	34	2023-09-11	1
156	53	2023-09-12	1
157	41	2023-09-12	3
158	71	2023-09-12	3
159	36	2023-09-12	1
160	32	2023-09-12	3
161	23	2023-09-12	3
162	100	2023-09-12	3
163	10	2023-09-13	1
164	81	2023-09-13	3
165	39	2023-09-13	1
166	97	2023-09-13	2
167	86	2023-09-13	2
168	78	2023-09-13	2
169	40	2023-09-13	3
170	65	2023-09-13	3
171	95	2023-09-13	3
172	37	2023-09-13	2
173	5	2023-09-13	3
174	87	2023-09-13	3
175	22	2023-09-14	3
176	51	2023-09-14	3
177	48	2023-09-14	1
178	58	2023-09-14	1
179	28	2023-09-14	1
180	82	2023-09-14	3
181	78	2023-09-14	2
182	99	2023-09-14	3
183	59	2023-09-14	3
184	84	2023-09-14	3
185	5	2023-09-14	3
186	23	2023-09-14	2
187	89	2023-09-15	3
188	15	2023-09-15	1
189	51	2023-09-15	3
190	82	2023-09-15	3
191	56	2023-09-15	3
192	54	2023-09-15	2
193	32	2023-09-15	3
194	11	2023-09-15	2
195	28	2023-09-15	3
196	12	2023-09-15	2
197	3	2023-09-15	2
198	96	2023-09-15	3
199	62	2023-09-15	2
200	88	2023-09-16	3
201	54	2023-09-16	1
202	46	2023-09-16	1
203	29	2023-09-16	1
204	61	2023-09-16	3
205	16	2023-09-16	3
206	25	2023-09-16	3
207	52	2023-09-16	2
208	68	2023-09-16	2
209	70	2023-09-16	2
210	87	2023-09-16	1
211	13	2023-09-16	1
212	36	2023-09-16	3
213	47	2023-09-16	1
214	44	2023-09-17	3
215	81	2023-09-17	2
216	91	2023-09-17	1
217	71	2023-09-17	1
218	78	2023-09-17	1
219	46	2023-09-17	1
220	76	2023-09-17	3
221	89	2023-09-17	3
222	33	2023-09-17	1
223	24	2023-09-17	3
224	69	2023-09-17	1
225	83	2023-09-17	2
226	50	2023-09-17	1
227	68	2023-09-17	1
228	79	2023-09-17	3
229	15	2023-09-17	1
230	26	2023-09-17	3
231	82	2023-09-17	3
232	56	2023-09-17	3
233	59	2023-09-17	3
234	87	2023-09-17	2
235	34	2023-09-17	1
236	88	2023-09-18	3
237	91	2023-09-18	1
238	35	2023-09-18	3
239	53	2023-09-18	1
240	44	2023-09-18	3
241	26	2023-09-18	1
242	67	2023-09-18	2
243	41	2023-09-18	3
244	54	2023-09-18	3
245	55	2023-09-18	2
246	79	2023-09-18	1
247	93	2023-09-18	2
248	92	2023-09-18	2
249	77	2023-09-18	1
250	64	2023-09-18	2
251	71	2023-09-18	1
252	69	2023-09-18	2
253	68	2023-09-18	1
254	90	2023-09-18	1
255	57	2023-09-18	2
256	89	2023-09-19	3
257	88	2023-09-19	1
258	58	2023-09-19	1
259	94	2023-09-19	3
260	44	2023-09-19	1
261	100	2023-09-19	1
262	81	2023-09-19	3
263	3	2023-09-19	3
264	24	2023-09-19	3
265	9	2023-09-19	3
266	33	2023-09-19	2
267	45	2023-09-20	2
268	86	2023-09-20	2
269	34	2023-09-20	3
270	74	2023-09-20	3
271	97	2023-09-20	1
272	16	2023-09-20	2
273	89	2023-09-20	1
274	67	2023-09-20	3
275	56	2023-09-20	3
276	55	2023-09-20	1
277	23	2023-09-20	1
278	60	2023-09-20	2
279	63	2023-09-20	2
280	18	2023-09-21	3
281	44	2023-09-21	2
282	9	2023-09-21	2
283	81	2023-09-21	1
284	86	2023-09-21	2
285	60	2023-09-21	3
286	16	2023-09-21	3
287	26	2023-09-21	1
288	52	2023-09-21	3
289	90	2023-09-21	3
290	87	2023-09-21	2
291	93	2023-09-21	2
292	57	2023-09-21	3
293	71	2023-09-22	2
294	2	2023-09-22	2
295	67	2023-09-22	1
296	25	2023-09-22	2
297	85	2023-09-22	3
298	34	2023-09-22	2
299	31	2023-09-22	1
300	75	2023-09-22	1
301	5	2023-09-22	1
302	55	2023-09-22	2
303	68	2023-09-22	3
304	18	2023-09-23	3
305	91	2023-09-23	3
306	29	2023-09-23	3
307	72	2023-09-23	3
308	11	2023-09-23	3
309	43	2023-09-23	2
310	2	2023-09-23	1
311	32	2023-09-23	2
312	79	2023-09-23	2
313	61	2023-09-23	2
314	64	2023-09-23	1
315	89	2023-09-23	2
316	36	2023-09-23	1
317	18	2023-09-24	1
318	73	2023-09-24	3
319	46	2023-09-24	3
320	40	2023-09-24	1
321	21	2023-09-24	1
322	9	2023-09-24	1
323	89	2023-09-24	3
324	82	2023-09-24	1
325	54	2023-09-24	3
326	78	2023-09-24	3
327	95	2023-09-24	1
328	99	2023-09-24	1
329	18	2023-09-25	2
330	26	2023-09-25	2
331	43	2023-09-25	3
332	56	2023-09-25	1
333	54	2023-09-25	1
334	95	2023-09-25	3
335	14	2023-09-25	1
336	39	2023-09-25	1
337	33	2023-09-25	2
338	96	2023-09-25	1
339	59	2023-09-25	2
340	45	2023-09-25	1
341	44	2023-09-25	2
342	81	2023-09-26	2
343	96	2023-09-26	3
344	29	2023-09-26	1
345	95	2023-09-26	2
346	47	2023-09-26	1
347	77	2023-09-26	1
348	42	2023-09-26	2
349	27	2023-09-26	3
350	26	2023-09-26	1
351	82	2023-09-26	3
352	36	2023-09-26	1
353	56	2023-09-26	3
354	52	2023-09-26	2
355	99	2023-09-26	2
356	90	2023-09-26	1
357	62	2023-09-26	1
358	93	2023-09-26	1
359	13	2023-09-26	3
360	32	2023-09-26	2
361	20	2023-09-26	2
362	81	2023-09-27	3
363	54	2023-09-27	2
364	69	2023-09-27	2
365	5	2023-09-27	1
366	74	2023-09-27	2
367	12	2023-09-27	1
368	27	2023-09-27	3
369	88	2023-09-27	1
370	91	2023-09-27	2
371	25	2023-09-27	3
372	24	2023-09-27	3
373	29	2023-09-27	2
374	34	2023-09-27	3
375	60	2023-09-27	2
376	44	2023-09-27	2
377	41	2023-09-27	2
378	7	2023-09-27	1
379	32	2023-09-27	1
380	80	2023-09-27	1
381	39	2023-09-28	2
382	90	2023-09-28	1
383	10	2023-09-28	2
384	82	2023-09-28	1
385	56	2023-09-28	1
386	75	2023-09-28	3
387	72	2023-09-28	1
388	14	2023-09-28	2
389	77	2023-09-28	1
390	12	2023-09-28	1
391	38	2023-09-28	3
392	65	2023-09-28	2
393	86	2023-09-29	3
394	63	2023-09-29	2
395	56	2023-09-29	2
396	29	2023-09-29	1
397	21	2023-09-29	2
398	6	2023-09-29	3
399	71	2023-09-29	3
400	17	2023-09-29	3
401	46	2023-09-29	2
402	13	2023-09-29	3
403	3	2023-09-29	2
404	69	2023-09-29	1
405	83	2023-09-29	2
406	32	2023-09-29	2
407	17	2023-09-30	2
408	8	2023-09-30	1
409	12	2023-09-30	3
410	100	2023-09-30	2
411	89	2023-09-30	2
412	57	2023-09-30	3
413	74	2023-09-30	3
414	18	2023-09-30	2
415	28	2023-09-30	3
416	20	2023-09-30	1
417	92	2023-09-30	3
418	28	2023-10-01	3
419	44	2023-10-01	2
420	91	2023-10-01	3
421	13	2023-10-01	2
422	42	2023-10-01	3
423	64	2023-10-01	2
424	39	2023-10-01	2
425	9	2023-10-01	2
426	71	2023-10-01	2
427	17	2023-10-01	2
428	90	2023-10-01	3
429	20	2023-10-01	2
430	14	2023-10-01	2
431	74	2023-10-01	1
432	47	2023-10-01	2
433	28	2023-10-02	3
434	50	2023-10-02	3
435	2	2023-10-02	3
436	11	2023-10-02	1
437	58	2023-10-02	2
438	55	2023-10-02	2
439	62	2023-10-02	3
440	77	2023-10-02	2
441	15	2023-10-02	3
442	35	2023-10-02	3
443	98	2023-10-02	3
444	68	2023-10-02	2
445	8	2023-10-03	2
446	31	2023-10-03	2
447	36	2023-10-03	2
448	86	2023-10-03	3
449	7	2023-10-03	3
450	23	2023-10-03	2
451	13	2023-10-03	1
452	92	2023-10-03	1
453	63	2023-10-03	1
454	72	2023-10-03	3
455	2	2023-10-04	2
456	20	2023-10-04	2
457	92	2023-10-04	2
458	51	2023-10-04	2
459	97	2023-10-04	1
460	27	2023-10-04	2
461	67	2023-10-04	2
462	29	2023-10-04	2
463	90	2023-10-04	1
464	62	2023-10-04	1
465	57	2023-10-04	3
466	76	2023-10-04	2
467	12	2023-10-04	3
468	68	2023-10-04	2
469	13	2023-10-04	3
470	18	2023-10-05	1
471	39	2023-10-05	1
472	63	2023-10-05	3
473	75	2023-10-05	2
474	87	2023-10-05	3
475	28	2023-10-05	1
476	16	2023-10-05	3
477	44	2023-10-05	3
478	91	2023-10-05	2
479	24	2023-10-05	1
480	17	2023-10-05	3
481	4	2023-10-05	1
482	79	2023-10-05	2
483	92	2023-10-05	3
484	14	2023-10-05	2
485	12	2023-10-05	1
486	31	2023-10-05	2
487	97	2023-10-05	1
488	49	2023-10-05	1
489	70	2023-10-05	3
490	93	2023-10-05	3
491	73	2023-10-06	2
492	37	2023-10-06	2
493	100	2023-10-06	3
494	83	2023-10-06	3
495	85	2023-10-06	2
496	29	2023-10-06	3
497	67	2023-10-06	1
498	88	2023-10-06	1
499	58	2023-10-06	3
500	51	2023-10-06	1
501	53	2023-10-06	2
502	96	2023-10-06	2
503	30	2023-10-06	2
504	13	2023-10-06	1
505	61	2023-10-06	1
506	74	2023-10-06	1
507	47	2023-10-06	2
508	92	2023-10-06	3
509	64	2023-10-07	2
510	78	2023-10-07	3
511	50	2023-10-07	3
512	30	2023-10-07	3
513	37	2023-10-07	2
514	53	2023-10-07	2
515	97	2023-10-07	3
516	10	2023-10-07	2
517	56	2023-10-07	3
518	58	2023-10-07	3
519	55	2023-10-07	3
520	15	2023-10-07	1
521	39	2023-10-07	3
522	98	2023-10-07	3
523	100	2023-10-07	2
524	88	2023-10-07	2
525	12	2023-10-08	3
526	66	2023-10-08	3
527	43	2023-10-08	3
528	25	2023-10-08	1
529	54	2023-10-08	1
530	85	2023-10-08	1
531	21	2023-10-08	3
532	71	2023-10-08	1
533	56	2023-10-08	1
534	49	2023-10-08	1
535	32	2023-10-08	1
536	76	2023-10-08	2
537	87	2023-10-08	2
538	61	2023-10-08	1
539	92	2023-10-08	3
540	70	2023-10-08	3
541	47	2023-10-08	2
542	60	2023-10-09	1
543	16	2023-10-09	1
544	55	2023-10-09	2
545	65	2023-10-09	3
546	42	2023-10-09	2
547	10	2023-10-09	1
548	96	2023-10-09	3
549	5	2023-10-09	3
550	62	2023-10-09	3
551	15	2023-10-09	3
552	50	2023-10-09	2
553	90	2023-10-09	2
554	20	2023-10-09	3
555	13	2023-10-09	2
556	18	2023-10-10	1
557	35	2023-10-10	2
558	82	2023-10-10	1
559	7	2023-10-10	2
560	61	2023-10-10	2
561	22	2023-10-10	3
562	10	2023-10-10	1
563	9	2023-10-10	2
564	67	2023-10-10	1
565	29	2023-10-10	2
566	32	2023-10-10	1
567	80	2023-10-10	2
568	77	2023-10-10	2
569	12	2023-10-10	2
570	81	2023-10-10	3
571	22	2023-10-11	3
572	56	2023-10-11	1
573	24	2023-10-11	3
574	4	2023-10-11	2
575	38	2023-10-11	2
576	26	2023-10-11	2
577	66	2023-10-11	1
578	57	2023-10-11	2
579	41	2023-10-11	2
580	25	2023-10-11	3
581	71	2023-10-11	2
582	59	2023-10-11	3
583	16	2023-10-12	3
584	89	2023-10-12	2
585	83	2023-10-12	1
586	44	2023-10-12	2
587	36	2023-10-12	3
588	3	2023-10-12	3
589	46	2023-10-12	2
590	32	2023-10-12	3
591	62	2023-10-12	2
592	45	2023-10-12	3
593	63	2023-10-12	1
594	29	2023-10-12	3
595	65	2023-10-12	1
596	23	2023-10-12	2
597	74	2023-10-12	2
598	61	2023-10-12	3
599	37	2023-10-13	1
600	35	2023-10-13	3
601	27	2023-10-13	2
602	10	2023-10-13	2
603	85	2023-10-13	3
604	59	2023-10-13	2
605	62	2023-10-13	1
606	47	2023-10-13	3
607	28	2023-10-13	2
608	16	2023-10-13	2
609	97	2023-10-13	1
610	33	2023-10-13	1
611	38	2023-10-13	3
612	23	2023-10-13	2
613	93	2023-10-13	3
614	94	2023-10-13	1
615	75	2023-10-13	2
616	50	2023-10-13	1
617	57	2023-10-13	1
618	79	2023-10-13	1
619	30	2023-10-13	1
620	28	2023-10-14	2
621	19	2023-10-14	1
622	2	2023-10-14	3
623	68	2023-10-14	3
624	65	2023-10-14	3
625	26	2023-10-14	1
626	97	2023-10-14	1
627	81	2023-10-14	2
628	71	2023-10-14	2
629	40	2023-10-14	2
630	59	2023-10-14	2
631	72	2023-10-14	3
632	61	2023-10-14	1
633	15	2023-10-14	1
634	31	2023-10-14	3
635	96	2023-10-14	2
636	85	2023-10-14	3
637	7	2023-10-15	3
638	76	2023-10-15	3
639	9	2023-10-15	1
640	67	2023-10-15	3
641	88	2023-10-15	2
642	82	2023-10-15	2
643	48	2023-10-15	2
644	85	2023-10-15	2
645	4	2023-10-15	1
646	40	2023-10-15	2
647	20	2023-10-15	2
648	14	2023-10-15	2
649	98	2023-10-15	3
650	3	2023-10-15	1
651	33	2023-10-15	2
652	47	2023-10-15	1
653	94	2023-10-15	1
654	10	2023-10-17	3
655	7	2023-10-16	3
656	87	2023-10-29	1
657	96	2023-10-25	2
658	59	2023-10-28	2
659	18	2023-10-16	2
660	28	2023-10-17	1
661	17	2023-10-26	2
662	9	2023-10-25	1
663	90	2023-10-31	1
664	84	2023-10-18	3
665	95	2023-10-26	2
666	53	2023-10-28	3
667	60	2023-10-18	1
668	92	2023-10-29	3
669	2	2023-10-31	2
670	54	2023-10-24	1
671	50	2023-10-28	1
672	18	2023-10-18	1
673	69	2023-10-21	3
674	55	2023-10-22	2
675	11	2023-10-30	2
676	36	2023-10-28	3
677	93	2023-10-22	3
678	42	2023-10-19	1
679	39	2023-10-19	1
680	83	2023-10-21	1
681	77	2023-10-31	3
682	89	2023-10-21	2
683	9	2023-10-25	3
684	23	2023-10-26	1
685	62	2023-10-17	3
686	47	2023-10-21	3
687	53	2023-10-29	2
688	35	2023-10-17	3
689	5	2023-10-29	1
690	31	2023-10-24	3
691	60	2023-10-24	2
692	48	2023-10-19	3
693	77	2023-10-31	2
694	94	2023-10-25	1
695	68	2023-10-21	1
696	64	2023-10-17	3
697	6	2023-10-29	2
698	31	2023-10-20	2
699	99	2023-10-29	1
700	84	2023-10-29	2
701	62	2023-10-26	3
702	68	2023-10-30	3
703	65	2023-10-23	1
704	74	2023-10-26	2
705	49	2023-10-30	3
706	49	2023-10-21	3
707	35	2023-10-19	3
708	71	2023-10-23	1
709	22	2023-10-20	1
710	91	2023-10-24	3
711	62	2023-10-22	2
712	92	2023-10-25	1
713	78	2023-10-16	2
714	90	2023-10-20	1
715	71	2023-10-29	2
716	84	2023-10-22	3
717	59	2023-10-24	2
718	64	2023-10-20	1
719	21	2023-10-28	3
720	51	2023-10-17	1
721	34	2023-10-29	2
722	23	2023-10-24	3
723	66	2023-10-24	3
724	33	2023-10-20	1
725	71	2023-10-25	1
726	18	2023-10-31	3
727	66	2023-10-18	1
728	10	2023-10-16	1
729	35	2023-10-26	1
730	80	2023-10-20	3
731	90	2023-10-27	1
732	48	2023-10-16	3
733	72	2023-10-16	2
734	21	2023-10-29	1
735	21	2023-10-21	3
736	71	2023-10-25	3
737	31	2023-10-20	2
738	89	2023-10-30	2
739	77	2023-10-27	2
740	69	2023-10-17	1
741	29	2023-10-28	3
742	4	2023-10-30	3
743	22	2023-10-27	2
744	9	2023-10-21	2
745	86	2023-10-28	2
746	14	2023-10-29	3
747	35	2023-10-23	1
748	60	2023-10-22	3
749	42	2023-10-26	1
750	11	2023-10-22	3
751	44	2023-10-31	2
752	98	2023-10-26	2
753	11	2023-10-25	2
754	2	2023-10-20	3
755	60	2023-10-19	1
756	1	2023-10-20	2
757	87	2023-10-26	2
758	43	2023-10-26	3
759	51	2023-10-18	1
760	15	2023-10-19	3
761	93	2023-10-17	1
762	73	2023-10-26	2
763	68	2023-10-18	2
764	95	2023-10-21	2
765	9	2023-10-21	2
766	93	2023-10-27	2
767	81	2023-10-24	3
768	46	2023-10-16	2
769	22	2023-10-26	2
770	100	2023-10-23	3
771	79	2023-10-25	2
772	59	2023-10-26	1
773	34	2023-10-16	3
774	45	2023-10-21	3
775	64	2023-10-27	2
776	29	2023-10-31	3
777	4	2023-10-26	1
778	27	2023-10-29	2
779	28	2023-10-27	2
780	42	2023-10-27	1
781	92	2023-10-27	1
782	80	2023-10-16	3
783	99	2023-10-20	1
784	61	2023-10-26	3
785	28	2023-10-26	2
786	86	2023-10-18	2
787	78	2023-10-19	2
788	48	2023-10-24	1
789	42	2023-10-18	3
790	91	2023-10-28	3
791	36	2023-10-28	3
792	44	2023-10-21	2
793	1	2023-10-16	3
794	49	2023-10-25	3
795	86	2023-10-21	3
796	12	2023-10-17	1
797	54	2023-10-31	3
798	9	2023-10-23	3
799	33	2023-10-26	2
