ma_no	x	y
1	60	54
2	41	149
3	36	172
4	27	220
5	22	247
6	15	285
7	42	292
8	30	347
9	67	297
10	56	351
11	95	302
12	81	360
13	120	309
14	108	362
15	142	310
16	134	368
17	100	264
18	111	213
19	119	165
20	124	140
21	130	117
22	134	90
23	138	66
24	190	77
25	183	102
26	179	125
27	168	173
28	166	198
29	161	222
30	150	273
31	235	25
32	222	81
33	209	146
34	197	204
35	184	283
36	172	337
37	164	375
38	152	443
39	139	502
40	133	536
41	126	562
42	120	595
43	102	655
44	80	762
45	42	423
46	69	428
47	96	431
48	120	435
49	106	499
50	82	493
51	54	489
52	31	481
53	51	517
54	100	530
55	92	559
56	43	549
57	72	650
58	270	31
59	329	44
60	450	70
61	510	80
62	545	85
63	557	27
64	534	142
65	522	203
66	509	274
67	473	448
68	451	548
69	490	556
70	544	557
71	608	559
72	608	588
73	589	616
74	562	655
75	589	677
76	529	703
77	561	712
78	527	749
79	437	644
80	422	725
81	402	801
82	106	763
83	109	746
84	151	752
85	162	709
86	189	711
87	194	773
88	229	712
89	231	768
90	258	713
91	264	770
92	293	710
93	296	765
94	326	710
95	330	733
96	328	763
97	366	765
98	229	676
99	255	676
100	225	657
101	189	659
102	186	632
103	235	608
104	184	568
105	286	657
106	314	542
107	316	574
108	251	569
109	371	577
110	414	580
111	406	611
112	366	636
113	403	643
114	367	678
115	396	679
116	267	61
117	261	89
118	258	118
119	248	146
120	245	175
121	236	201
122	230	245
123	222	280
124	215	320
125	207	342
126	202	382
127	186	449
128	324	71
129	319	100
130	313	128
131	306	157
132	301	185
133	295	214
134	291	280
135	295	312
136	294	334
137	277	394
