m_no	r_no	m_menu	m_sub1	m_sub2	m_sub3	m_price	m_num
1	1	샘스테이크	도우 변경, 기본 +0, 바사삭으로 변경 +0, 치즈링으로 변경 +3000, 골드스윗으로 변경 +4000	음료, 코카콜라 500ml 추가 +1500, 코카콜라 1.25L 추가 +2000, 스프라이트 500ml 추가 +15000, 스프라이트 1.5L 추가 +2100	추가토핑, 치즈 +3000, 페페로니 +2000, 파인애플 +1500, 양파 +1500, 버섯 +1500	25900	1
2	1	불고기	도우 변경, 기본 +0, 바사삭 +0, 치즈링 +3000, 골드스윗 +4000	음료, 코카콜라 500ml 추가 +1500, 코카콜라 1.25L 추가 +2000, 스프라이트 500ml 추가 +15000, 스프라이트 1.5L 추가 +2100	추가토핑, 치즈 +3000, 페페로니 +2000, 파인애플 +1500, 양파 +1500, 버섯 +1500	20900	1
3	1	새우파티	도우 변경, 기본 +0, 바사삭 +0, 치즈링 +3000, 골드스윗 +4000	음료, 코카콜라 500ml 추가 +1500, 코카콜라 1.25L 추가 +2000, 스프라이트 500ml 추가 +15000, 스프라이트 1.5L 추가 +2100	추가토핑, 치즈 +3000, 페페로니 +2000, 파인애플 +1500, 양파 +1500, 버섯 +1500	25900	1
4	1	페스티벌	도우 변경, 기본 +0, 바사삭 +0, 치즈링 +3000, 골드스윗 +4000	음료, 코카콜라 500ml 추가 +1500, 코카콜라 1.25L 추가 +2000, 스프라이트 500ml 추가 +15000, 스프라이트 1.5L 추가 +2100	추가토핑, 치즈 +3000, 페페로니 +2000, 파인애플 +1500, 양파 +1500, 버섯 +1500	25900	1
5	1	깐쇼불갈비	도우 변경, 기본 +0, 바사삭 +0, 치즈링 +3000, 골드스윗 +4000	음료, 코카콜라 500ml 추가 +1500, 코카콜라 1.25L 추가 +2000, 스프라이트 500ml 추가 +15000, 스프라이트 1.5L 추가 +2100	추가토핑, 치즈 +3000, 페페로니 +2000, 파인애플 +1500, 양파 +1500, 버섯 +1500	25900	1
6	1	콜라 500ml				2000	3
7	1	콜라 1.25L				2100	3
8	1	스프라이트 500ml				1500	3
9	1	스프라이트 1.5L				1500	3
10	2	뿌링클	추가 선택, 뿌링뿌링 소스 추가 +2000, 웨지감자 +5500, 치즈볼 +5000, 뿌링치즈볼 +6000, 치킨무 +500			18000	1
11	2	맛쵸킹	추가 선택, 뿌링뿌링 소스 추가 +2000, 웨지감자 +5500, 치즈볼 +5000, 뿌링치즈볼 +6000, 치킨무 +500			18000	1
12	2	후라이드	추가 선택, 뿌링뿌링 소스 추가 +2000, 웨지감자 +5500, 치즈볼 +5000, 뿌링치즈볼 +6000, 치킨무 +500			17000	1
13	2	레드킹	추가 선택, 뿌링뿌링 소스 추가 +2000, 웨지감자 +5500, 치즈볼 +5000, 뿌링치즈볼 +6000, 치킨무 +500			19000	1
14	2	치즈볼				5000	2
15	2	뿌링 치즈볼				6000	2
16	2	콜라 500ml				2000	3
17	2	콜라 1.25L				2100	3
18	2	스프라이트 500ml				1500	3
19	2	스프라이트 1.5L				1500	3
20	3	크림파스타				16000	1
21	3	토마토파스타				15000	1
22	3	스테이크				20000	1
23	3	청포도에이드	추가 선택, 사이즈 업 +2000			5000	3
24	3	레몬에이드	추가 선택, 사이즈 업 +2000			5000	3
25	4	치킨버거	추가 선택, 케이준 후라이M +2300, 코카콜라(L) +2400			5600	1
26	4	골든까르보버거	추가 선택, 케이준 후라이M +2300, 코카콜라(L) +2400			5400	1
27	4	캡새버거	추가 선택, 케이준 후라이M +2300, 코카콜라(L) +2400			5300	1
28	4	불고기버거	추가 선택, 케이준 후라이M +2300, 코카콜라(L) +2400			5000	1
29	4	오치킨버거베이직	추가 선택, 케이준 후라이M +2300, 코카콜라(L) +2400			5600	1
30	4	타워버거	추가 선택, 케이준 후라이M +2300, 코카콜라(L) +2400			5500	1
31	4	텐더 2조각	추가 선택, 2조각 추가 +2800			3000	2
32	4	케이준후라이M				2300	2
33	4	닭껍질튀김				3300	2
34	4	에그타르트				2200	2
35	4	코카콜라(L)				2400	3
36	4	코크제로(L)				2400	3
37	4	아이스아메리카노(L)				2200	3
38	5	떡볶이				4000	1
39	5	로제떡볶이				5000	1
40	5	순대(내장 없음)				5000	2
41	5	모듬튀김(선택X)				5000	2
42	5	김말이 튀김(2개)				1000	2
43	5	계란 튀김(2개)				1000	2
44	5	콜라 500ml				2000	3
45	5	사이다 500ml				2000	3
46	6	고기반햄반 김치찌개	추가 선택, 공기밥 추가 +1000, 고기추가 +3000, 김치 추가 +3000			9000	1
47	6	참치찌개	추가 선택, 공기밥 추가 +1000, 참치추가 +2500, 김치 추가 +3000			8500	1
48	6	김치볶음밥				8000	2
49	6	제육덥밥				8500	2
50	6	콜라(S)				1000	3
51	6	사이다(S)				1000	3
52	7	백설	추가 선택, 사이즈 업(고기 추가) +2500, 공기밥 추가 +1000, 사리면 추가 +1000			8500	1
53	7	홍설	추가 선택, 사이즈 업(고기 추가) +2500, 공기밥 추가 +1000, 사리면 추가 +1000			8900	1
54	7	황설	추가 선택, 사이즈 업(고기 추가) +2500, 공기밥 추가 +1000, 사리면 추가 +1000			8900	1
55	7	황태해장설	추가 선택, 사이즈 업(고기 추가) +2500, 공기밥 추가 +1000, 사리면 추가 +1000			8500	1
56	7	마늘영양설	추가 선택, 사이즈 업(고기 추가) +2500, 공기밥 추가 +1000, 사리면 추가 +1000			8900	1
57	7	도가니보양설	추가 선택, 사이즈 업(고기 추가) +2500, 공기밥 추가 +1000, 사리면 추가 +1000			15000	1
58	7	공기밥				1000	2
59	8	교촌 오리지날	변경, 날개만 +4000, 다리만 +4500, 콤보 +4500	추가 선택, 양념 소스 +500, 허니 머스타드 소스 +500		16000	1
60	8	허니 오리지날	변경, 날개만 +4000, 다리만 +4500, 콤보 +4500	추가 선택, 양념 소스 +500, 허니 머스타드 소스 +500		16000	1
61	8	레블반반오리지날	변경, 날개만 +4000, 다리만 +4500, 콤보 +4500	추가 선택, 양념 소스 +500, 허니 머스타드 소스 +500		20000	1
62	8	리얼후리이드	변경, 날개만 +4000, 다리만 +4500, 콤보 +4500	추가 선택, 양념 소스 +500, 허니 머스타드 소스 +500		17500	1
63	8	국물맵떡				9000	2
64	8	포테이토앤칩스				6000	2
65	8	콜라(L)				2000	3
66	8	스프라이트(L)				2000	3
67	9	오리지널	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		16000	1
68	9	고추바사삭 	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		18000	1
69	9	오븐바사삭	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		17000	1
70	9	치즈바사삭	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		18000	1
71	9	불금치킨	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		18000	1
72	9	남해마늘바사삭	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		19000	1
73	9	갈비천왕	변경, 날개만 +3500, 다리만 +4000, 콤보 +4000, 순살 +4500	사이드 선택, 맴달떡볶이 +8000, 모짜치즈볼 +5000, 소떡소떡 +2800		18000	1
74	9	맴달떡볶이				8000	2
75	9	모짜치즈볼				5000	2
76	9	소떡소떡				2800	2
77	10	시카고 딥디쉬 피자				17500	1
78	10	허니멜로 스윗포테이토 피자				17000	1
79	10	페퍼로니 찹찹 피자				17000	1
80	10	리코타&브리 시카고 딥디쉬 피자				19000	1
81	10	그릴드비츠 갈비천왕 피자				17000	1
82	10	바비큐 시카고 딥디쉬 피자				18000	1
83	11	김치찌개	추가 선택, 김치 추가 +2000			9000	1
84	11	된장찌개	추가 선택, 조개 추가 +3000			8000	1
85	11	순두부찌개	추가 선택, 두부 추가 +1000, 계란 추가 +1000			9000	1
86	11	김치볶음밥	추가 선택, 계란후라이 추가 +1500			7500	1
87	11	계란볶음밥				7000	1
88	12	생선구이	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			8000	1
89	12	제육볶음	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			6000	1
90	12	청국장	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			6000	1
91	12	순두부찌개	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			6000	1
92	12	된장찌개	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			6000	1
93	12	김치찌개	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			7000	1
94	12	참치김치찌개	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			7000	1
95	12	알탕	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			8000	1
96	12	대구탕	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			8000	1
97	12	보리굴비	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			14000	1
98	12	가정식백반	추가 선택, 공기밥 +1000, 볶음밥 +2000, 계란말이 +6000			6000	1
99	13	소고기 덥밥	추가 선택, 곱빼기 +2000, 장국 +1000			9000	1
100	13	연어 덥밥	추가 선택, 곱빼기 +2000, 장국 +1000			9000	1
101	13	연어 회	추가 선택, 장국 +1000			10000	1
102	13	타코야키				3500	2
103	14	아보카도 새우	추가 선택, 사이즈 업 +7000			20500	1
104	14	크랩&립 하우스	추가 선택, 사이즈 업 +7000			29000	1
105	14	대만 콘 치즈 감자	추가 선택, 사이즈 업 +7000			17900	1
106	14	이탈리아 마르게리따	추가 선택, 사이즈 업 +7000			17900	1
107	14	블랙앵거스 스테이크	추가 선택, 사이즈 업 +7000			29500	1
108	14	베스트 콰트로	추가 선택, 사이즈 업 +7000			29500	1
109	14	블록 버스터4	추가 선택, 사이즈 업 +7000			29500	1
110	14	블랙타이거 슈림프	추가 선택, 사이즈 업 +7000			30000	1
111	14	코카콜라 500ml				1700	3
112	14	코카콜라 1.25L				2300	3
113	14	코카콜라 제로 500ml				1700	3
114	14	코카콜라 제로 1.25L				2300	3
115	14	스프라이트 500ml				1700	3
116	14	스프라이트 1.5L				2400	3
117	15	스테이크 덥밥	추가 선택, 고기 추가 +5000			9000	1
118	15	스테이크	추가 선택, 고기 추가 +5000			24000	1
119	15	스테이크 꼬치	추가 선택, 고기 추가 +5000			6000	2
120	15	스테이크 떡볶이 	추가 선택, 고기 추가 +5000			8500	2
121	15	청포도에이드				4000	3
122	15	청귤에이드				4000	3
