o_no	c_no	r_no	o_menu	o_price	o_date	o_add	o_badal	o_address
1	14	2	후라이드	17000	2023-01-10	1	2	2
2	12	6	김치볶음밥	8000	2023-01-16	1	2	1
3	11	2	뿌링클 	18000	2023-01-29	1	2	1
4	2	3	크림파스타, 청포도에이드 	21000	2023-02-14	1	2	1
5	15	2	레드킹, 뿌링 치즈볼 	25000	2023-02-16	1	2	1
6	2	11	된장찌개 	8000	2023-02-20	1	2	2
7	5	6	제육덥밥, 콜라(S)	9500	2023-02-21	1	2	1
8	1	13	연어 덥밥, 연어 회	19000	2023-02-27	1	2	1
9	9	2	후라이드 , 콜라 1.25L 	19100	2023-03-03	1	2	1
10	1	11	계란볶음밥	7000	2023-03-03	1	2	1
11	9	6	고기반햄반 김치찌개 	9000	2023-03-10	1	2	1
12	7	3	크림파스타, 청포도에이드	21000	2023-03-11	1	2	1
13	9	13	소고기 덮밥 +곱빼기 1 + 장국 1	12000	2023-03-13	1	2	1
14	6	13	타코야키	14000	2023-03-14	1	2	2
15	5	6	참치찌개+참치추가 1	11000	2023-03-26	1	2	1
16	17	13	소고기 덥밥, 타코야키	12500	2023-04-01	1	2	1
17	20	11	김치찌개 	9000	2023-04-05	1	2	1
18	8	2	맛쵸킹	18000	2023-04-10	1	2	1
19	5	13	연어 덥밥	27000	2023-04-12	1	2	1
20	3	13	연어 덥밥, 타코야키	12500	2023-04-18	1	2	2
21	3	3	크림파스타, 청포도에이드	21000	2023-04-21	1	2	1
22	18	6	김치볶음밥, 제육덥밥	16500	2023-04-26	1	2	1
23	1	13	연어 덥밥, 타코야키	21500	2023-04-30	1	2	1
24	1	6	고기반햄반 김치찌개	9000	2023-05-01	1	2	1
25	11	2	후라이드	17000	2023-05-01	1	2	1
26	6	2	레드킹, 후라이드	36000	2023-05-16	1	2	1
27	20	6	김치볶음밥, 사이다(S)	9000	2023-05-17	1	2	1
28	5	2	맛쵸킹, 콜라 1.25L	20100	2023-05-18	1	2	1
29	8	6	고기반햄반 김치찌개	9000	2023-05-20	1	2	2
30	2	2	뿌링클, 뿌링 치즈볼	24000	2023-05-25	1	2	1
31	15	3	스테이크, 청포도 에이드	25000	2023-05-25	1	2	1
32	12	3	토마토파스타	15000	2023-06-23	1	2	1
33	2	2	뿌링클	18000	2023-07-05	1	2	1
34	13	11	김치찌개	9000	2023-07-06	1	2	2
35	20	2	맛쵸킹	18000	2023-07-17	1	2	1
36	19	3	크림파스타, 토마토파스타	31000	2023-07-21	1	2	1
37	5	2	레드킹, 스프라이트 1.5L	24000	2023-07-26	1	2	1
38	4	2	맛쵸킹, 콜라 500ml	20000	2023-07-31	1	2	1
39	6	3	크림파스타, 청포도에이드	21000	2023-08-04	1	2	1
40	14	45	맵슐링치킨 + 순살	21500	2023-08-14	1	2	1
41	17	19	롱쓰 부대찌개	9000	2023-08-14	1	2	1
42	14	21	싸이버거 + 양념감자 1 +콜라 1, 김떡만	11300	2023-08-16	1	2	2
43	13	1	새우파티 + 치즈링 + 코카콜라 500ml	30400	2023-08-18	1	2	1
44	13	9	오븐바사삭 + 날개만	20500	2023-08-20	1	2	2
45	20	6	참치찌개 + 공기밥추가 1	9500	2023-08-24	1	2	1
46	12	3	토마토파스타, 레몬에이드	20000	2023-08-25	1	2	1
47	12	3	크림파스타, 청포도에이드	21000	2023-08-27	2	2	1
48	11	5	로제떡볶이, 순대(내장 없음), 모듬튀김(선택X), 사이다 500ml	17000	2023-08-28	2	2	1
49	12	6	참치찌개 + 공기밥추가 1	9500	2023-08-28	1	2	1
50	9	3	크림파스타, 레몬에이드	21000	2023-08-29	1	2	1
51	11	4	치킨버거 + 코카콜라(L) 1, 닭껍질 튀김 1	11300	2023-09-01	1	2	1
52	11	15	스테이크 떡볶이 + 고기 추가 1	9000	2023-09-04	2	2	1
53	5	11	된장찌개	8000	2023-09-04	1	2	1
54	9	16	마라떡볶이 + 중 + 분모자 1 + 중국당면 1	12000	2023-09-05	2	2	1
55	12	3	스테이크	20000	2023-09-05	1	2	1
56	9	15	스테이크 덮밥, 청귤 에이드	13000	2023-09-08	1	2	1
57	7	11	계란볶음밥	7000	2023-09-09	1	2	1
58	7	13	연어 회, 타코야끼	13500	2023-09-10	2	2	1
59	8	11	순두부찌개 + 두부 추가 1+ 계란 추가 1 + 공기밥 추가 1	13000	2023-09-10	2	2	1
60	8	17	우삼겹 파스타	8500	2023-09-10	1	2	1
61	8	21	갈릭바베큐버거 + 양념감자 1+ 콜라 1, 사이다	10100	2023-09-10	1	2	1
62	6	48	까르보나라, 알리오 올리오	15500	2023-09-12	2	2	2
63	7	7	황태해장설	8500	2023-09-12	2	2	1
64	5	2	뿌링클, 뿌링 치즈볼, 콜라 500ml	25500	2023-09-14	1	2	1
65	5	47	마라탕 1인분, 꿔바로우, 환타(오렌지)	22000	2023-09-14	1	2	1
66	5	45	핫후라이드치킨	20000	2023-09-14	1	2	1
67	15	35	마라샹궈 (1인분), 꿔바로우	30000	2023-09-14	2	2	1
68	15	18	새우버거 +감자튀김(칠리)  1 + 제로콜라(M) 1 , 토네이도 아이스크림 + 쿠앤크	10000	2023-09-14	1	2	1
69	17	26	광어(1kg)	28000	2023-09-14	1	2	1
70	18	11	순두부찌개 + 두부 추가 1 + 계란 추가 1 + 공기밥 추가 1	12000	2023-09-14	1	2	1
71	19	36	아메리카노 + ICE	25000	2023-09-14	2	2	1
72	15	48	알리오 올리오, 페스카토레	15500	2023-09-15	2	2	1
73	2	11	김치찌개	9000	2023-09-15	1	2	1
74	19	6	참치찌개 + 공기밥추가 1	9500	2023-09-16	1	2	1
75	17	24	1인 세트	17000	2023-09-17	2	2	1
76	20	2	뿌링클, 뿌링 치즈볼	24000	2023-09-20	1	2	1
77	19	13	소고기 덮밥 + 곱빼기 + 장국 1	12000	2023-09-21	2	2	1
78	1	3	크림파스타, 토마토파스타	31000	2023-09-21	1	2	1
79	5	2	뿌링클	18000	2023-09-27	2	2	1
80	3	27	간짜장, 탕수육(소)	30000	2023-09-28	2	2	2
81	14	2	후라이드 	17000	2023-09-30	1	2	2
82	6	3	토마토파스타, 스테이크	35000	2023-10-04	1	2	2
83	2	33	에그마요 페퍼로니 샐러드, 에그마요 +오믈렛 추가 1	10200	2023-10-05	1	2	2
84	2	46	떡볶이, 순대(내장 없음), 뜨끈 오뎅(5개), 콜라	15000	2023-10-06	1	2	2
85	17	2	맛쵸킹, 콜라 1.25L	20100	2023-10-06	2	2	1
86	1	36	망고바나나 주스, 콜드 브루 오트 라떼, 레드벨벳 크림치즈 케이크	16100	2023-10-07	2	2	1
87	20	28	수제 돈까스	9000	2023-10-07	1	2	1
88	10	6	제육덥밥	8500	2023-10-07	1	2	1
89	18	2	레드킹, 치즈볼	24000	2023-10-07	2	2	1
90	15	6	제육덥밥	8500	2023-10-10	1	2	1
91	10	6	김치볶음밥	8000	2023-10-11	1	2	1
92	5	11	된장찌개	8000	2023-10-12	1	2	1
