r_no	r_name	r_mini	r_take	r_info	r_num	x	y
1	7번가피자	28000	30~45	매일-08:30~22:30, 연중무휴, 000-1234-1266	7	225	657
2	bhc	10000	39~54	매일-09:30~22:30, 연중휴무, 000-1234-1271	8	258	713
3	ESTD레스토랑	15000	30~45	매일-09:40~22:40, 연중무휴, 000-1234-1240	2	277	394
4	kfc	9900	34~57	평일-09:40~22:40, 주말휴무, 000-1234-1276	9	557	27
5	감탄떡볶이	9000	50~65	매일-09:30~22:30, 연중무휴, 000-1234-1256	5	534	142
6	고기반햄반 김치찌개	9000	39~45	매일-09:40~21:30, 연중휴무, 000-1234-1234 	1	406	611
7	고향설렁탕	8000	26~41	매일-10:30~22:30, 연중무휴, 000-1234-1235	1	313	128
8	교촌	10000	49~64	매일-09:30~22:30, 연중무휴, 000-1234-1272	8	229	676
9	굽네치킨	12000	21~36	매일-08:30~22:30, 연중무휴, 000-1234-1273 	8	326	710
10	굽네피자	9400	55~70	평일-09:40~22:40, 주말휴무, 000-1234-1267 	7	81	360
11	달달밥상	8000	27~42	매일-08:30~23:30, 연중무휴, 000-1234-1236	1	235	608
12	달달백반	8500	49~64	매일-09:30~22:30, 연중휴무, 000-1234-1237 	1	316	574
13	도모	12000	24~39	매일-09:30~22:30, 연중무휴, 000-1234-1251	4	133	536
14	도미노	18000	40~55	평일-09:30~22:30, 주말휴무, 000-1234-1268	7	545	85
15	도쿄스테이크	8900	38~53	매일-09:30~22:30, 연중무휴, 000-1234-1245 	2	222	81
16	두끼떡볶이	10000	42~57	매일-09:30~22:30, 연중휴무, 000-1234-1257 	5	164	375
17	롤링파스타	7000	39~54	매일-09:30~22:30, 연중휴무, 000-1234-1242	2	235	25
18	롯데리아	8900	31~46	평일-09:30~22:30, 주말휴무, 000-1234-1277	9	608	559
19	롱쓰 부대찌개	4900	22~37	매일-09:30~22:30, 연중무휴, 000-1234-1238	1	330	733
20	리얼하노이	16000	30~45	매일-09:40~22:40, 연중무휴, 000-1234-1261 	6	229	712
21	맘스터치	9500	40~55	평일-09:30~22:30, 주말휴무, 000-1234-1278	9	51	517
22	맥도날드	11000	50~60	매일-10:30~22:30, 연중무휴, 000-1234-1279	9	293	710
23	미스터	7900	36~51	매일-09:30~22:30, 연중무휴, 000-1234-1269	7	161	222
24	미스터초밥	5000	27~50	평일-08:30~22:30, 주말휴무, 000-1234-1252	4	306	157
25	미앤반찬	14000	40~55	매일-09:30~22:30, 연중무휴, 000-1234-1239 	1	108	362
26	미앤수산	8500	30~45	평일-09:30~22:30, 주말휴무, 000-1234-1253	4	138	66
27	바른중식	8900	30~45	매일-09:30~22:30, 연중무휴, 000-1234-1247	3	31	481
28	바른초밥	3000	46~61	매일-09:40~22:40, 연중무휴, 000-1234-1254	4	490	556
29	버거킹	15000	37~52	매일-09:30~22:30, 연중무휴, 000-1234-1280 	9	111	213
30	벌크커피	12000	46~61	매일-09:30~22:30, 연중무휴, 000-1234-1282 	10	80	762
31	베스킨라빈스	15000	42~57	매일-10:30~22:30, 연중무휴, 000-1234-1283	10	120	435
32	보배반점	10000	40~55	매일-10:30~22:30, 연중무휴, 000-1234-1248	3	319	100
33	서브웨이	9000	52~67	매일-09:30~22:30, 연중무휴, 000-1234-1281	9	22	247
34	설빙	10000	35~50	평일-10:30~22:30, 주말휴무, 000-1234-1284	10	366	765
35	소림마라	20000	41~56	매일-09:30~22:30, 연중무휴, 000-1234-1262	6	314	542
36	스타벅스	15000	40~61	매일-09:30~22:30, 연중무휴, 000-1234-1285	10	230	245
37	스테이크펍	12000	39~54	매일-09:30~22:30, 연중무휴, 000-1234-1246	2	42	423
38	신전떡볶이	15000	30~45	매일-09:30~22:30, 연중무휴, 000-1234-1259	5	106	499
39	아웃백	10000	38~53	매일-09:40~22:40, 연중무휴, 000-1234-1243	2	207	342
40	에머이	18000	19~34	매일-09:30~22:30, 연중무휴, 000-1234-1263	6	126	562
41	엽기떡볶이	9900	40~55	매일-09:30~22:30, 연중무휴, 000-1234-1260	5	529	703
42	오늘의반점	8900	30~45	매일-09:30~22:30, 연중무휴, 000-1234-1249	3	172	337
43	와플대학	12000	42~60	매일-10:30~22:30, 연중무휴, 000-1234-1286 	10	236	201
44	우성돈까스	15000	40~55	매일-09:30~22:30, 연중무휴, 000-1234-1244	2	509	274
45	자담	9500	54~69	매일-09:30~22:30, 연중무휴, 000-1234-1274 	8	270	31
46	죠스떡볶이	14000	39~54	매일-09:30~22:30, 연중무휴, 000-1234-1258	5	134	368
47	탕화쿵푸	24000	47~62	매일-10:40~22:40, 연중휴무, 000-1234-1264	6	295	214
48	파스타집이야	12500	42~57	매일-10:30~22:30, 연중무휴, 000-1234-1241	2	261	89
49	푸라닭	10900	25~40	평일-09:30~22:30, 주말휴무, 000-1234-1275 	8	151	752
50	피자헛	8000	42~57	매일-09:30~22:30, 연중무휴, 000-1234-1270	7	396	679
51	혼마치	14000	23~38	매일-09:30~22:30, 연중무휴, 000-1234-1255 	4	109	746
52	홍콩마라탕	15000	29~44	매일-09:30~22:30, 연중무휴, 000-1234-1265	6	183	102
53	홍콩반점	8000	25~45	매일-09:30~22:30, 연중무휴, 000-1234-1250	3	245	175
