g_no	g_name	g_date	c_no	u_gender	g_price	g_people	g_stock	g_advertisement	g_sale	g_img
1	여성 파란 블라우스	2023-04-12	1	2	44800	2	171	어디서나 무난하게!	0.3	
2	남성 회색 후드티	2023-05-25	1	1	43200	2	596	3355(삼삼오오) 세일	0.35	
3	여성 연한 청바지	2023-06-25	2	2	13900	2	530	한정 깜짝쎄일!! 26%	0.26	
4	여성 와이드 청바지	2023-04-08	2	2	42100	2	301	한정 깜짝쎄일!! 20%	0.3	
5	공용 보라색 크록스	2023-02-14	5	0	35400	2	576	한정 깜짝쎄일!! 28%	0.28	
6	남성 프린팅 맨투맨	2023-04-24	1	0	10800	3	234	한정 깜짝쎄일!! 49%	0.49	
7	여성 꽃 무늬 가디건	2023-07-11	1	2	45800	2	63	한정 깜짝쎄일!! 39%	0.39	
8	남성 검은 조거팬츠	2023-01-05	2	1	11800	2	585	한정 깜짝쎄일!! 29%	0.29	
9	여성 갈색 A라인 스커트	2023-04-19	2	2	19900	3	192	반값세일	0.5	
10	남성 파란 톱코트	2023-03-03	3	1	43600	2	522	이심전심세일0 22%	0.22	
11	여성 부츠컷 팬츠	2023-04-07	2	2	23400	3	389	한정 깜짝쎄일!! 44%	0.44	
12	여성 검은 와이드 팬츠	2023-06-25	2	2	45400	3	414	한정 깜짝쎄일!! 39%	0.37	
13	유아용 3세용 신발	2023-04-13	6	0	16700	4	395	우리 아기 예쁜 신발을 신겨봐요	0.3	
14	공용 흰색 무지 티	2023-07-23	1	0	33700	4	240	한정 깜짝쎄일!! 44%	0.44	
15	여성 후리스	2023-09-18	3	2	17800	2	295	삼삼한 세일!! 33%	0.33	
16	남성 프린팅 반팔티	2023-02-20	1	1	47100	4	576	한정 깜짝쎄일!! 24%	0.24	
17	공용 오버핏 검은 반팔티	2023-09-21	1	0	33000	2	76			
18	남성용 니트	2023-08-26	1	1	10500	4	570	데이트 나갈 때 입기 좋은 옷	0.45	
19	여성용 파란색 반팔 블라우스	2023-01-18	1	2	47400	3	284			
20	여성용 보라색 바람막이	2023-03-02	3	2	49900	4	431			
21	남성 검은색 유광 숏패딩	2023-05-01	3	1	45900	2	547			
22	공용 디자인 데님 팬츠	2023-07-31	2	0	37500	3	377			
23	여성 여름용 샌들	2023-10-12	5	2	47000	4	346			
24	여성 꽃 무늬 캔버스화	2023-06-07	5	2	26200	4	79			
25	여성용 데일리 속옷세트	2023-08-14	4	2	42900	3	359			
26	남성용 사각팬티	2023-02-07	4	1	45500	3	353			
27	남성 갈색 롱코트	2023-09-08	3	1	22300	4	327			
28	공용 샌들	2023-01-01	5	0	31800	3	67	공용으로 커플템으로도 강추~	0.41	
29	공용 프리사이즈 팬츠	2023-06-03	2	0	38900	3	104			
30	남성 검은 반팔 티	2023-05-31	1	1	22000	3	458			
31	 공용 하얀색 바람막이	2023-06-15	3	0	41400	2	447			
32	여성용 굽 5cm 구두	2023-08-20	5	2	44800	3	500			
33	남성용 흰 무지티	2023-03-03	1	1	20300	4	210			
34	여성용 정장 상의	2023-09-16	3	2	11300	4	334			
35	남성 오버핏 반팔 셔츠	2023-02-08	1	1	41900	3	15			
36	여성 갈색 무스탕	2023-01-11	3	2	39900	2	136			
37	남성 파란 사각팬티	2023-05-17	4	1	19200	2	558			
38	여성용 크롭 상의	2023-03-16	1	2	32700	4	215			
39	공용 흰색 운동화	2023-08-29	5	0	46700	2	175	심플 무난 흰색 운동화	0.48	
40	공용 회색 와이드 팬츠	2023-04-01	2	0	28500	3	52			
41	남성용 스누피 반팔 후드	2023-08-15	1	1	48800	2	186			
42	남성 흰색 런닝화	2023-04-04	5	1	29400	3	360			
43	여성 뒷꿈치 없는 캔버스화	2023-02-09	5	2	28600	3	366			
44	여성 긴팔 골지 라운드	2023-10-16	1	2	21000	4	519			
45	여성용 키높이 신발	2023-07-28	5	2	18600	2	330			
46	여성용 반팔 크롭자켓	2023-05-24	3	2	49200	2	177			
47	여성용 오버핏 후드티	2023-07-20	1	2	36600	4	90			
48	공용 검은 어글리슈즈	2023-08-30	5	0	30400	3	145			
49	남성용 흰 크록스	2023-06-22	5	1	20800	4	313			
50	여성 검은 치마 바지	2023-06-06	2	2	35100	2	468			
51	남성 초록 등산용 바람막이	2023-03-20	3	1	34700	4	256			
52	남성 카고 포켓 팬츠	2023-04-03	2	1	15300	4	332			
53	가을 가디건	2023-03-13	3	0	21800	2	247			
54	롱스커트	2023-03-10	2	2	43400	4	154			
55	분홍 캉캉치마	2023-04-13	2	2	32600	4	170	기분 전환하고 싶을 때 입기 좋은!	0.33	
56	레이스 스커트	2023-07-18	2	2	21600	2	268			
57	메쉬 스니커즈	2023-09-18	5	1	34700	2	390			
58	가디건	2023-06-03	6	0	38300	2	198			
59	찍찍이 신발	2023-06-04	6	2	23500	2	279			
60	뽀짝 후드티	2023-03-20	6	2	32600	4	15			
61	삼선 오버핏 저지	2023-08-20	3	2	41300	3	401			
62	심플 단화	2023-06-27	5	2	33600	4	569			
63	레이스 속옷	2023-06-08	4	2	32700	2	270			
64	농구복	2023-07-14	1	2	32600	4	217	나도 강백호! 멋있는 농구복	0.36	
65	깜찍 개구리 슬리퍼	2023-03-27	5	0	33200	2	427			
66	떡볶이 코드	2023-01-07	2	0	47700	4	147			
67	레인 슈즈	2023-07-16	5	1	32800	4	69			
68	레이싱 팬츠	2023-06-20	2	1	33400	2	390			
69	정장 구두	2023-10-12	5	1	45800	3	256	발이 편~한 정장 구두	0.23	
70	줄무늬 긴팔 티셔츠	2023-09-01	1	1	47300	3	186			
71	흰색 패딩	2023-02-24	3	1	41900	2	596			
72	반바지	2023-07-22	2	0	38900	2	457			
73	여성용 사각팬티	2023-06-25	4	2	24200	4	381			
74	어글리 슈즈	2023-04-23	6	2	32900	2	511			
75	조깅 스웨트 팬츠	2023-04-18	2	1	23600	3	199			
76	피케 반팔 티셔츠	2023-01-14	1	1	28500	3	593			
77	우븐카라 티셔츠	2023-05-01	1	0	38000	2	42			
78	크롭 후드집업	2023-02-19	3	2	32700	3	496			
79	후드집업	2023-02-01	6	0	26200	3	119			
80	양사이드 오픈 힐	2023-01-09	5	2	28400	4	467			
81	트러커 자켓	2023-05-05	3	0	29100	2	103			
82	삼선 슬리퍼	2023-05-30	5	0	13300	4	262	학교, 집앞, 편하게 신을 수 있는 슬리퍼	0.34	
83	반집업 반팔티	2023-10-01	1	2	45800	4	136			
84	흰색 오버핏 셔츠	2023-02-08	1	0	44200	3	315			
85	꽃 무늬 블라우스	2023-10-15	1	2	23000	2	532			
86	트레이닝 상의	2023-08-13	1	1	12500	3	400			
87	트레이닝 하의	2023-03-09	2	1	48000	3	122			
88	긴팔 맨투맨	2023-09-23	6	0	35400	2	473			
89	노란색 패딩	2023-02-07	6	0	26100	3	160			
90	노란색 후드 반팔티	2023-07-30	1	0	41100	2	270			
91	캐릭터 슬리퍼	2023-04-13	5	0	20200	3	393			
92	폭신 폭신 양털 슬리퍼	2023-06-18	5	0	27000	4	303	겨울엔 포근함이 느껴지는 양털 슬리퍼죠~	0.35	
93	누드 브라	2023-07-30	4	2	49700	2	59			
94	남성용 삼각팬티	2023-02-11	4	1	23800	4	545			
95	트렁크 속옷	2023-02-07	4	1	32700	2	67			
96	츄리닝 바지	2023-05-24	2	2	48600	2	127			
97	멜빵치마	2023-04-29	2	2	31700	2	306			
98	프랫워커	2023-05-03	5	2	40100	2	352			
99	롱부츠	2023-09-21	5	2	14100	4	383			
100	남성 워커	2023-02-02	5	1	15600	2	571			
101	캐릭터 잠옷	2023-01-17	6	0	35200	4	389			
102	엘사 드레스	2023-06-13	6	2	34600	3	591			
103	항공점퍼	2023-08-17	3	0	13600	2	176			
104	롱 패딩	2023-07-17	3	0	23900	3	589	겨울 필수템!!! 없어서는 안돼죠!!	0.39	
105	경량 패딩	2023-10-16	3	0	45900	4	581			
106	양털 후리스	2023-07-04	3	0	30600	3	380			
107	흰색 오프숄더	2023-09-08	1	2	49700	3	436			
108	남성 반팔티	2023-06-22	1	1	40800	3	348			
109	슬랙스	2023-06-29	2	0	42000	4	22			
110	스포츠 브라	2023-02-10	4	2	33400	3	219	와이어 없는 편안함을 느껴보세요!	0.25	
111	꽃 무늬 경량 패딩	2023-01-30	6	2	46400	4	26			
112	청바지	2023-04-18	6	0	21400	3	590			
113	바람막이	2023-06-06	6	1	41300	3	501			
114	와이어 브라	2023-06-08	4	0	25400	2	37			
115	크롭 스웻셔츠	2023-06-15	1	2	32700	2	567			
116	프린팅 반팔티	2023-05-04	6	0	16200	4	280			
117	크록스	2023-05-29	6	1	25500	2	259			
118	삑삑이 샌들	2023-04-30	6	0	44000	3	497			
119	갈색 스커트	2023-09-15	2	2	23400	2	305			
120	빨간 맨투맨	2023-08-17	1	1	45600	2	538			
121	숏패딩	2023-03-21	3	0	34600	3	382			
122	형광 티셔츠	2023-05-11	1	1	18600	4	202			
123	야구점퍼	2023-05-22	3	0	32500	4	464			
124	가죽 잠바	2023-06-25	3	1	43900	2	332	멋내고 싶나요?? 그럼 구매하싶쇼!	0.46	
125	멜빵바지	2023-08-28	6	1	28500	2	458			
126	가죽 바지	2023-02-14	2	2	30400	4	47			
127	마린 원피스	2023-05-19	6	2	33400	4	102			
128	크롭 페이크퍼 자켓	2023-08-15	3	2	49400	3	241			
129	카고 팬츠	2023-07-28	2	0	11700	2	69			
130	파일럿 제킷	2023-06-24	3	1	31500	2	533			
131	니트 조끼	2023-04-29	1	0	13400	4	209			
132	핑크 청바지	2023-06-14	2	0	17200	3	415			
133	갈색 롱코트	2023-10-12	6	0	13000	2	265			
134	검은색 사각팬티	2023-05-02	4	1	40400	3	329			
135	꿀벌옷	2023-08-30	6	0	46200	3	585			
136	어그부츠	2023-01-10	5	0	28200	2	448			
137	런닝브라	2023-07-29	4	2	44100	3	491			
138	위생팬티	2023-07-12	4	2	49700	4	456			
139	메리아스	2023-06-13	4	1	16400	4	337			
140	등산화	2023-02-18	5	1	32200	4	342			
141	더비 슈즈	2023-05-25	5	1	29200	3	347			
142	웨딩팬츠	2023-03-09	4	2	13000	4	563			
143	공주님 운동화	2023-10-02	6	2	31400	3	137			
144	무지 반팔티	2023-02-23	6	1	36800	2	431			
145	7부 바지	2023-02-14	2	1	15300	3	431			
146	청반바지	2023-09-02	2	2	25900	2	365			
147	남성 속옷 세트	2023-07-25	4	1	40100	3	30			
148	남성 청남방	2023-01-14	3	1	22200	4	523			
149	여성 돌핀팬츠	2023-06-28	3	2	49300	2	298			
150	유아용 샌들	2023-09-02	6	0	42600	3	360	아기 발을 생각한 너무 편한!! 샌들	0.3	
