gb_no	u_no	g_no
1	273	34
2	35	84
3	240	47
4	147	90
5	233	106
6	101	58
7	62	46
8	218	7
9	130	38
10	158	99
11	235	140
12	98	86
13	58	87
14	254	18
15	247	59
16	113	27
17	142	79
18	96	42
19	32	48
20	202	26
21	200	44
22	213	43
23	67	25
24	97	129
25	17	104
26	179	119
27	9	52
28	31	139
29	101	76
30	21	120
31	188	88
32	215	25
33	148	115
34	212	120
35	224	147
36	252	1
37	158	82
38	83	136
39	74	49
40	271	98
41	201	118
42	109	47
43	239	39
44	223	10
45	73	59
46	89	15
47	208	16
48	270	18
49	94	12
50	57	119
51	219	116
52	125	80
53	123	81
54	58	11
55	65	109
56	260	16
57	252	53
58	138	114
59	26	82
60	240	23
61	143	50
62	105	108
63	234	145
64	203	108
65	90	13
66	185	136
67	241	75
68	177	63
69	254	52
70	57	99
71	158	20
72	160	110
73	270	12
74	268	43
75	278	14
76	156	122
77	12	84
78	62	23
79	37	16
80	265	79
81	170	76
82	196	14
83	208	97
84	280	5
85	174	134
86	89	126
87	229	148
88	248	125
89	122	49
90	36	10
91	231	45
92	75	2
93	75	8
94	234	18
95	223	68
96	51	78
97	233	27
98	214	26
99	238	92
100	166	36
101	110	126
102	40	145
103	4	87
104	124	94
105	20	89
106	135	142
107	212	23
108	238	107
109	248	115
110	230	56
111	55	86
112	87	131
113	121	9
114	87	144
115	238	28
116	1	51
117	23	95
118	58	58
119	120	6
120	249	137
121	154	41
122	51	39
123	222	110
124	86	134
125	35	41
126	162	35
127	187	97
128	34	55
129	208	100
130	167	17
131	167	101
132	158	138
133	275	116
134	124	94
135	56	125
136	83	93
137	80	99
138	28	106
139	204	134
140	140	36
141	90	21
142	211	76
143	104	67
144	205	83
145	191	127
146	114	139
147	187	12
148	261	44
149	30	102
150	160	143
151	39	23
152	115	37
153	21	123
154	237	53
155	70	47
156	69	113
157	275	148
158	235	62
159	127	112
160	39	7
161	184	37
162	218	5
163	170	116
164	254	149
165	273	65
166	157	66
167	189	14
168	191	9
169	190	28
170	26	29
171	176	99
172	268	123
173	252	14
174	85	44
175	69	103
176	203	126
177	245	95
178	151	77
179	13	38
180	161	121
181	205	9
182	145	73
183	100	114
184	35	78
185	18	79
186	114	94
187	6	3
188	169	20
189	19	40
190	122	67
191	274	33
192	43	86
193	131	102
194	233	62
195	258	93
196	60	4
197	258	8
198	97	21
199	133	137
200	77	109
201	154	150
202	91	61
203	260	38
204	118	50
205	164	33
206	246	104
207	108	17
208	236	123
209	105	130
210	241	130
211	11	135
212	275	34
213	171	150
214	15	40
215	241	109
216	54	143
217	140	91
218	44	30
219	202	108
220	264	72
221	62	140
222	44	123
223	28	15
224	240	142
225	213	24
226	25	75
227	171	27
228	187	33
229	212	74
230	194	57
231	97	28
232	201	111
233	265	103
234	163	49
235	44	148
236	168	67
237	86	29
238	244	87
239	126	45
240	122	107
241	19	35
