p_no	u_no	g_no	p_quantity	 p_amount 	p_state
1	275	56	1	20520	1
2	158	56	1	20520	3
3	72	79	1	21600	2
4	39	79	1	20960	3
5	261	79	1	24104	2
6	155	8	2	20768	1
7	92	35	2	76258	3
8	206	62	2	67200	1
9	180	84	1	40664	1
10	24	84	1	31800	3
11	177	65	3	94620	3
12	101	23	2	94000	3
13	201	41	2	92720	3
14	121	149	3	140505	3
15	123	42	1	27048	3
16	109	42	1	27048	1
17	174	114	3	72390	3
18	5	117	1	24225	1
19	94	117	1	24225	1
20	179	6	3	15876	3
21	105	145	2	27540	1
22	91	82	1	4522	3
23	118	82	1	4522	1
24	190	82	1	4522	1
25	30	143	3	86664	2
26	86	37	1	18240	1
27	82	37	1	18240	3
28	123	116	2	32400	2
29	36	136	1	26790	1
30	235	87	1	44160	2
31	241	68	1	33400	2
32	43	43	1	28600	1
33	235	6	1	8964	2
34	23	144	2	58880	2
35	79	71	3	125700	1
36	276	26	2	83720	2
37	47	140	1	27370	2
38	29	140	1	27370	3
39	258	140	1	26100	1
40	187	139	1	13940	3
41	203	41	1	48800	1
42	62	150	4	136320	2
43	122	42	3	81144	2
44	271	113	3	99120	3
45	132	106	1	28152	2
46	16	23	1	39950	3
47	28	23	1	17170	1
48	96	23	1	23970	1
49	99	23	2	65400	3
50	158	137	5	162288	1
51	138	86	5	45500	3
52	23	133	5	49400	3
53	58	101	2	70400	3
54	119	9	1	15721	1
55	220	130	4	115920	1
56	158	69	3	31602	1
57	187	90	3	117135	2
58	207	13	1	5010	2
59	76	28	3	81090	1
60	135	137	3	121716	1
61	238	138	3	126735	3
62	266	9	1	15721	2
63	71	76	2	52440	1
64	217	36	4	146832	1
65	192	16	2	80070	2
66	39	71	1	38548	1
67	137	71	1	11375	2
68	251	13	3	37575	3
69	30	90	3	117135	1
70	227	73	3	61710	1
71	38	41	2	97600	1
72	116	43	1	26312	3
73	251	83	3	116790	3
74	50	28	2	26076	3
75	18	97	1	28530	2
76	53	37	5	72960	1
77	147	85	1	21850	3
78	80	10	5	153472	3
79	214	148	2	37740	2
80	201	22	1	33750	2
81	37	22	1	28530	3
82	120	22	1	14100	3
83	195	8	3	31152	1
84	145	150	5	136320	3
85	49	122	1	15810	1
86	119	122	1	15810	3
87	134	122	1	15810	3
88	25	122	1	15810	3
89	271	39	4	153176	2
90	205	36	3	110124	1
91	96	130	1	31500	2
92	219	134	2	74336	3
93	89	77	1	36100	3
94	99	15	4	23496	2
95	114	53	2	40112	3
96	147	103	1	13600	3
97	159	77	3	108300	1
98	68	124	3	117213	3
99	269	95	2	60822	2
100	198	74	3	93765	1
101	94	8	3	31152	3
102	53	110	3	25050	1
103	57	119	3	63180	2
104	265	83	3	116790	1
105	196	133	2	20800	2
106	181	66	1	40545	3
107	103	66	1	40545	3
108	240	66	2	77800	2
109	237	66	1	20880	3
110	176	72	3	110865	1
111	240	80	2	48280	3
112	48	18	1	8715	3
113	127	18	1	4725	2
114	74	23	4	159800	1
115	47	132	5	63296	3
116	25	139	1	13940	2
117	254	5	1	9912	2
118	50	115	3	89271	2
119	134	34	1	9605	2
120	188	34	1	9605	1
121	166	34	1	9605	1
122	191	34	1	9605	3
123	117	60	1	26080	2
124	137	126	2	60800	1
125	254	66	3	121635	2
126	278	85	3	62790	2
127	18	133	3	31200	1
128	150	25	3	118404	2
129	157	68	1	30060	3
130	82	31	1	39330	3
131	120	31	1	28500	2
132	22	51	1	29495	3
133	118	113	2	75992	1
134	30	1	4	152320	1
135	41	137	2	81144	2
136	146	34	2	19210	2
137	20	107	1	45227	3
138	99	5	1	9912	1
139	126	61	2	75992	2
140	274	96	1	43740	3
141	91	37	3	54720	2
142	194	2	3	45360	3
143	141	145	1	13770	2
144	128	17	1	30030	3
145	195	17	2	60800	1
146	24	119	1	22230	3
147	20	32	2	76160	1
148	178	34	2	19210	2
149	230	77	3	103740	1
150	229	76	2	52440	3
151	14	26	5	167440	3
152	4	9	3	29850	2
153	272	86	2	25000	3
154	140	44	1	17850	1
155	161	56	3	61560	1
156	74	8	3	31152	3
157	133	93	3	138663	1
158	154	34	1	9605	1
159	26	148	2	37740	3
160	101	1	2	26880	2
161	224	4	3	101040	2
162	173	144	3	104880	1
163	84	4	1	33680	3
164	210	37	3	54720	2
165	189	17	2	62700	1
166	48	7	1	38472	2
167	9	108	2	74256	2
168	115	57	1	29495	2
169	183	57	1	32965	3
170	115	79	1	20960	2
171	16	104	3	27963	1
172	139	100	2	31200	3
173	203	49	1	20800	3
174	90	150	3	102240	2
175	248	12	1	16798	1
176	247	73	2	41140	3
177	28	77	2	72200	1
178	9	136	5	95880	2
179	52	3	2	23352	1
180	177	85	5	83720	2
181	223	140	3	82110	3
182	256	61	2	75992	1
183	106	10	3	28776	1
184	175	99	3	35955	2
185	174	121	1	31832	2
186	124	131	1	11390	1
187	273	131	1	11390	1
188	28	131	1	11390	2
189	150	131	1	11390	2
190	64	60	3	78240	2
191	10	42	3	81144	2
192	231	29	3	105030	1
193	12	29	3	98400	2
194	139	29	1	30030	1
195	192	128	1	45448	3
196	46	40	2	52440	1
197	227	85	1	20930	1
198	246	68	2	60120	2
199	94	149	3	147900	3
200	114	7	1	17862	3
201	226	98	2	68170	3
202	209	106	3	84456	2
203	107	8	1	10384	2
204	164	118	1	35200	2
205	187	15	3	17622	3
206	88	129	1	11700	3
207	134	66	1	40545	3
208	226	150	2	25560	3
209	228	13	1	12525	1
210	228	9	2	31442	2
211	269	41	2	88816	2
212	13	61	3	123900	2
213	266	10	1	43600	1
214	112	100	2	29640	2
215	76	137	4	162288	3
216	107	26	3	125580	3
217	197	59	1	18800	2
218	105	45	2	35340	2
219	149	69	2	73280	1
220	81	30	3	60720	1
221	165	17	2	60060	2
222	111	17	2	66000	3
223	100	17	1	31350	1
224	277	111	4	148480	3
225	1	29	2	70020	3
226	95	62	1	28560	2
227	17	62	1	28560	3
228	97	62	1	21600	2
229	220	62	1	15480	1
230	223	10	3	28776	3
231	3	59	5	75200	3
232	153	115	1	31065	1
233	199	111	3	111360	2
234	183	90	1	37401	2
235	280	122	3	47430	1
236	208	66	2	81090	3
237	125	24	1	26200	3
238	265	11	1	19422	1
239	253	66	2	81090	1
240	188	74	3	78960	1
241	146	133	3	37050	2
242	214	12	3	121218	3
243	148	75	1	21240	3
244	222	120	2	82992	3
245	97	4	4	134720	3
246	60	32	2	89600	3
247	79	17	5	120120	1
248	260	51	2	58990	2
249	188	15	2	30260	2
250	228	49	1	17680	1
251	52	49	1	17680	2
252	112	114	3	70866	2
253	26	131	2	22780	1
254	69	124	3	117213	2
255	136	37	2	36480	1
256	19	93	5	188860	1
257	31	95	2	62130	1
258	240	55	3	32274	2
259	79	9	3	29850	1
260	277	18	2	17430	2
261	139	65	3	99600	1
262	1	141	2	49640	3
263	3	44	1	17850	2
264	116	147	3	120300	3
265	267	115	1	29757	3
266	125	82	5	44688	1
267	268	34	3	33900	3
268	136	47	1	36600	2
269	142	127	2	56780	1
270	161	12	1	16798	2
271	36	137	5	162288	1
272	271	137	2	21060	3
273	149	137	4	130800	1
274	278	77	3	114000	2
275	216	100	3	39780	2
276	76	76	2	51870	2
277	4	20	5	169660	1
278	221	103	3	37536	1
279	176	30	1	20240	3
280	18	122	5	63240	1
281	34	104	1	20315	3
282	86	7	1	38472	1
283	250	85	3	69000	3
284	3	77	3	114000	2
285	56	93	5	188860	3
286	190	116	1	12960	1
287	217	116	1	13770	2
288	34	116	1	13260	2
289	263	116	1	13770	3
290	169	41	4	185440	3
291	5	43	3	78936	1
292	30	1	2	26880	3
293	12	49	1	17680	3
294	71	99	1	11985	3
295	58	12	1	16798	3
296	207	99	3	35955	1
297	156	67	1	27880	3
298	76	19	3	129402	2
299	3	82	3	33516	1
300	48	144	1	29440	1
301	254	21	2	87210	3
302	244	127	2	56780	2
303	262	82	2	9044	3
304	265	107	3	135681	3
305	99	79	2	41920	3
306	257	128	3	136344	3
307	173	77	1	34580	1
308	125	11	5	51480	3
309	236	89	3	62640	3
310	214	90	1	39045	2
311	7	136	3	84600	3
312	229	116	3	38880	1
313	175	94	1	20230	1
314	87	94	1	20230	2
315	93	94	1	20230	2
316	54	94	1	20230	2
317	155	27	1	22300	1
318	37	127	1	33400	3
319	244	143	4	100480	2
320	108	107	2	91448	1
321	56	52	3	39015	2
322	53	95	4	124260	3
323	139	100	3	44460	3
324	175	33	2	34510	2
325	153	93	1	46221	2
326	141	3	4	14456	1
327	231	20	3	127245	3
328	70	99	1	11985	2
329	267	91	3	55752	3
330	210	136	1	26790	1
331	34	111	2	78880	2
332	110	149	2	93670	1
333	27	112	5	68480	3
334	247	48	3	91200	1
335	72	101	3	89760	3
336	262	145	3	45900	1
337	232	6	5	35856	1
338	268	80	2	48280	3
339	270	15	4	23496	2
340	4	77	3	108300	2
341	254	10	2	19184	2
342	206	143	2	50240	3
343	99	96	3	138510	2
344	171	26	2	83720	2
345	199	64	1	11736	1
346	70	102	1	34600	2
347	139	22	3	103500	2
348	190	7	1	17862	2
349	215	149	3	147900	1
350	86	55	2	21516	2
351	245	111	5	148480	2
352	20	91	1	17170	2
353	11	34	3	28815	3
354	37	90	1	37401	3
355	266	18	1	4725	3
356	242	124	2	78142	2
357	97	89	1	20880	2
358	277	121	3	95496	3
359	226	20	1	42415	1
360	174	20	2	30504	2
361	48	20	3	56400	2
