b_no	u_no	g_no
1	46	110
2	195	84
3	9	148
4	107	71
5	22	145
6	232	119
7	10	21
8	215	51
9	221	122
10	218	47
11	219	18
12	224	105
13	232	54
14	210	22
15	47	144
16	180	12
17	16	26
18	195	133
19	196	107
20	131	94
21	22	34
22	10	121
23	71	52
24	94	139
25	239	124
26	145	75
27	46	32
28	34	77
29	209	27
30	26	107
31	230	60
32	141	137
33	129	142
34	231	70
35	75	72
36	5	7
37	242	8
38	143	12
39	186	111
40	140	82
41	26	35
42	233	142
43	56	97
44	218	45
45	82	46
46	26	38
47	130	40
48	19	108
49	170	115
50	242	52
51	209	86
52	22	149
53	42	138
54	73	37
55	37	99
56	171	13
57	188	38
58	228	143
59	188	15
60	238	17
61	54	106
62	232	3
63	120	26
64	156	110
65	151	76
66	143	20
67	147	119
68	178	148
69	183	88
70	181	9
71	50	110
72	59	117
73	74	121
74	127	73
75	122	119
76	88	25
77	215	120
78	114	99
79	197	94
80	6	104
81	141	132
82	33	76
83	236	51
84	53	88
85	79	145
86	105	53
87	167	110
88	132	110
89	113	118
90	217	45
91	53	117
92	132	134
93	142	11
94	137	61
95	103	66
