no	user	post
1	20	287
2	39	778
3	74	929
4	70	533
5	28	920
6	69	952
7	73	956
8	83	121
9	25	147
10	67	403
11	2	320
12	51	667
13	76	433
14	63	165
15	73	152
16	62	918
17	56	932
18	7	174
19	3	753
20	23	712
21	36	550
22	16	540
23	55	778
24	46	90
25	33	425
26	65	948
27	49	829
28	21	559
29	42	268
30	50	308
31	53	943
32	80	887
33	14	892
34	72	870
35	74	600
36	71	212
37	48	1011
38	23	31
39	36	83
40	12	683
41	49	170
42	45	321
43	39	995
44	62	165
45	36	824
46	48	211
47	74	875
48	71	331
49	43	1023
50	76	56
51	24	830
52	46	926
53	7	522
54	53	419
55	4	498
56	72	174
57	61	303
58	21	91
59	74	712
60	24	196
61	19	821
62	31	941
63	39	121
64	39	919
65	53	334
66	40	552
67	52	710
68	4	546
69	53	732
70	3	590
71	4	503
72	39	698
73	66	302
74	47	361
75	61	809
76	52	698
77	41	979
78	49	939
79	68	104
80	47	203
81	34	321
82	2	689
83	6	608
84	1	784
85	45	113
86	1	767
87	63	1015
88	60	153
89	28	363
90	66	4
91	85	227
92	73	726
93	7	666
94	48	662
95	52	374
96	36	675
97	75	354
98	40	154
99	27	217
100	18	206
101	45	93
102	33	739
103	40	166
104	68	994
105	1	736
106	48	422
107	51	579
108	23	304
109	71	87
110	58	845
111	41	10
112	6	298
113	40	766
114	40	699
