no	user	store
1	68	43
2	54	77
3	79	83
4	21	52
5	79	79
6	62	61
7	7	54
8	34	77
9	70	84
10	26	19
11	50	38
12	82	71
13	7	9
14	63	46
15	74	11
16	38	71
17	59	42
18	82	12
19	74	70
20	52	72
21	32	21
22	68	11
23	47	37
24	68	76
25	46	62
26	72	57
27	15	9
28	74	41
29	7	25
30	35	51
31	55	65
32	80	78
33	69	38
34	6	15
35	32	63
36	20	83
37	62	45
38	34	63
39	63	32
40	43	22
41	17	68
42	8	26
43	65	14
44	67	55
45	69	32
46	75	69
47	30	45
48	19	60
49	66	66
50	86	20
51	66	79
52	78	71
53	72	33
54	71	65
55	2	4
56	6	31
57	33	21
58	41	69
59	65	34
60	62	32
61	24	24
62	9	79
63	31	12
64	80	47
65	20	48
66	65	6
67	4	42
68	25	67
69	34	17
70	60	7
71	23	33
72	74	10
73	39	82
74	83	70
75	28	80
76	27	49
77	69	80
78	75	35
79	46	19
80	58	55
81	23	70
82	11	83
83	5	31
84	60	66
85	8	64
86	20	5
87	62	21
88	69	33
89	53	57
90	13	71
91	39	20
92	5	82
93	52	29
94	40	2
95	52	14
96	36	12
97	62	82
98	50	48
99	84	85
100	85	81
101	85	57
102	11	44
103	46	86
