no	store	title	explanation	price	view	deliveryfee	category	category_sub	category_detail	state
1	82	21/22 fw 샤넬 브랙 롱패딩 EU 36	구입 : 2022년 1월 구입가 : 2,021,800엔 + 관부가세(516만원) + 구대비용 = 2천7백7십만원 희망판매가 : 1990만원 장소 : 도쿄 이세탄 백화점 제품 특징 : 국내 백화점에 수입 안된 샤넬 컬렉션라인의 롱패딩입니다. 국내에는 그레이 색상으로 블핑 제니가 모델이었습니다. 가격은 천만원 약간 넘는 가격이었습니다. 블랙 모델은 제니 롱패딩보다 위 급의 컬렉션 라인 제품으로 실제 샤넬 런웨이 제품입니다. 패딩의 후디 부분 및 CC로고에 펄 장식이 되어 있습니다. 사이즈는 EU36으로 165cm 전후의 여성분께 추천드립니다. (평소 힐을 신으신다면 160초반도 괜찮으십니다) ***-****-**** 직거래만 하며 직거래시 정식 수입면장을 보여드립니다.	19900000	9378	0	1	20	147	3
2	79	[L] 여성20~21ㄹㅈ 파라점퍼스 고비	▶ 정품 파라점퍼스 고비◀ 여성 패딩점퍼 L 사이즈! #상품 상태: A #색 상: 블랙 #사이즈: L #가격: 52만원 상세 설명: 보시는거처럼 컨디션 정말좋으며, 워낙 인기많은 제품이니 아실겁니다 거래방법: 1호선 의정부역 직거래&택배거래 ▶ ***-****-**** 문자나 번톡문의 ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆ ※상품 상태 분류표※ N 새상품 A 사용감 적은 민트급 상품 B 사용감 존재 중고 상품 C 사용감 많은 중고 상품 D 하자 있는 중고 상품 ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆	460000	43	0	1	20	148	1
3	13	뱅뱅 점퍼 95사이즈 새제품	텍 달려있는 새제품입니다. 95사이즈 카키색상이구요. 상세사이즈 사진에 있습니다. 반값택배 포함 가격이에요 *배송 완료 후 바로 구매확정 해주시는 조건으로 번개페이 가능합니다.	10000	13	0	1	20	149	2
4	14	66~77) 윌슨 여성 양가죽 세무 무스탕 후드일체형 여성여자 무스탕	가슴단면 49 총기장 70 팔길이 61 (여성 66~77 에 맞습니다..) 이쁘고 따뜻합니다.. 고급스러운 윌슨 양가죽 쎄무 무스탕. 후드일체형으로 일반 시중에 파는 허접한 무스탕과 비교불가입니다 ▶ 상점의 모든 제품 정품입니다. ▶ 택배비는 3000+ 해 주시고.. 제주 및 산간지역 6000+ .. 상점의 다른 물품과 묶음배송 가능하며... 2개이상 구매시 무료배송입니다..^^	59000	420	1	1	20	150	2
5	62	LELER(메종르네) 반코트	사이즈55. 르네 반코트입니다. 2번정도 입어서 상태는 새거같아요. *반품.환불 안되시와요~	80000	60	1	1	21	151	3
6	6	마쥬 롱 코트	마쥬롱코트 롱패딩 양가죽입니다 상태넘나좋아요 55 66 사이즈요 쿨거시택포 두벌이상시 에눌 택포 다량구매시 허벌나게에눌 택포 특이사항없음 고지안하고멘트없어요 문의주세요 상식선에서벗어나지않은번개죄저가로 책정된가격대로 큰이윤목표가아닙니다	89000	147	1	1	21	152	2
7	65	디메이든 맨투맨 m [새상품]	시착해본 새상품입니다! 제가 원하던 사이즈가 아니라 판매합니다ㅜㅜ!! 쿨거시 반값택포 가능해요 !	35000	8	1	1	22		1
8	4	나이키 여성 테크팩 후드집업 L	총장 61 어깨 래글런 가슴 48 • 사이즈는 사진과 단면cm 기재내용을 비교하시면 좋습니다ㅎㅎ	19900	0	1	1	23		1
9	61	(새상품) 수입의류 다미t 반목티 목포라티 슬림티셔츠	가본으로 소장해야하는 몸매 예뻐보이는 기본티에용 심심하지 않게 십자가 디테일 들어가있고 겨울철에도 입을 수 있는 너무 얇은 원단이 아니라 살짝 도톰한 원단입니다! 코트나 자켓 숄이나 어디에도 두루두루 잘 입고 있는 상품이에요	25000	37	1	1	24	153	2
10	9	더뮤지엄비지터 하트스프레이 크롭	단시간 1회 착용 , 세탁후 택과함께 보관중입니다!! 받아보고 생각보다 크롭이어서 판매합니다! 쿨거시 택포해드립니다 :)	69000	214	1	1	24	154	3
