no	user	post	content	score
1	13	188	정말 좋은 물건 감사합니다ㅎㅎ	5
2	61	596	오배송 있어서 며칠 늦었지만 상품을 받아보고 완전 만족합니다!!! 다시 재구매 의사 있고 옷 엄청 깔끔하네요 그냥 새 옷인줄 알겠어요 사장님 인품도 굿입니다!	3
3	25	337	여행중이라 구매확정이 늦어졌네요.. 가방상태 굳이고요~ 언제나 믿음이 가는 상점이랍니다~^^	5
4	69	143	완전 새시계네요 깨끗하고 예쁩니다 판매자분은 친절하시구요^^	5
5	43	766	답변도, 택배도 빠르고 친절 매너 최고입니다. 많이들 거래하세요. 절대 최강 추천 함다	1
6	65	334	번개장터 7년하면서 최고중에 베스트 최고상점입니다~!! 신뢰,믿은,서비스, 삼박자가 완벽한상점!!👍👍👍👍 한번 구매해보시면 아실껍니다 최고상점입니다❤️	2
7	80	179	잘 받았습니다-!	3
8	5	234	상태도 깔끔하고 가격도 적당하게 잘 산것 같네요 번창하세요~	2
9	47	892	친구 생일성물로 주문한건데 8년간 줬던 어떤 것보다 제일 좋아하네요ㅎㅅㅎ 다음번엔 제걸로 또 주문할게요! 감사합니다♥️	2
10	56	178	배송도 넘 빠르고 친절하세요 좋은가격에 사서 기분이 넘 좋습니다 담에 또 이용할게요	2
11	32	458	좋은 거래 감사합니다 날씨가 많이 추워졌네요 감기 조심하세요~!	5
12	73	866	별 하나도 주기 그러네요 아예 늦게 받는다고 하시던지 도착예정이라고 만 하시고 정말 짜증났어요 번거로워 그냥 쓰긴 하는데 재구매는 안할듯해요	5
13	11	770	기대안했는데 상태너무좋고요 다음에 또 이용할게요	4
14	34	784	사장님이 바쁘셔서 연락이 조금 힘들지만 친절하시고 상품도 좋습니다!!!!	2
15	10	242	제품 깔끔하고 마음에듭니다 친절하신 판매자님 덕분에 좋은거래 했습니다 감사합니다	3
16	85	933	이뿌고좋습니다. 만족합니다.담에또살게요	4
17	3	616	배송하신다 하고 일주일이 지나도 오지가 않아서 말씀드렸더니 깜빡했다고 하셔서 지각비 받는 다고하니 보내주시더라고요. 택배상태도 안좋고요	2
18	49	830	배송 지연되었지만 친절하게 유선 가이드해 주셨네요. 감사합니다 	4
19	40	572	친절하고 빠른배송 감사합니다	1
20	71	412	거의 새제품을 보내주셨네요 대단히 만족스럽습니다	2
21	80	19	큘거래 해주셨어요 믿고 거래하시면 되시겠어요👍🏻	2
22	75	73	상품 빨리 보내주셨어요 :))))))))))	2
23	67	752	안녕하세요?~~^^택배 잘받았습니다~~감사드립니다.편안한시간 되시구요~~~^^	1
24	14	257	너무 잘맞고 맘에 쏙 들어요 ! 받아서 저녁에 여친만날때 입었는데 오늘 너무 자기스타일이라면서 칭찬들었네요 ㅎㅎㅎ	1
25	43	934	빠른 배송 감사합니다 아주 만족 스럽습니다	2
26	68	510	사진과 같이 상태좋습니다. 또 구매할게요	2
27	30	96	사이즈가 굉장히크네요^^ 물건은 너무좋아요 감사합니다	4
28	54	339	굿 👍 	1
29	64	1003	좋은제품 잘쓰겠습니다. 고맙습니다.	1
30	60	44	너무 친절하시고 물건도 잘왔어요	2
31	72	291	답장, 배송 모두 빠르게 해주셔서 좋았습니다. 좋은 거래 감사합니다😊	5
32	86	996	정말 예뻐요ㅜㅠ 빨리 보내주시고 엄청 친절하게 답장해주셨어요.. 또 사려고 들어왔다가 후기를 안남겨서 호다닥 남겨요❤️ 번창하세요!!	1
33	14	329	쿨거래 감사합니다 ~항상 행복하세용~^^	5
34	59	529	오늘 받았는데 상태 정말 좋아요 판매자님도 친절하시고 함께 보내주신 간식도 잘 먹었습니다 감사해요-*	2
35	50	890	가성비 좋고 상태 좋고 배송 빠르고 너무 만족해요	2
36	46	877	빠른배송 착한가격 ᆢ감사합니다 	1
37	15	83	사진에 안보이는 보풀들이 전체적으로 너무많이 있어서 놀랬어요... 보풀이 있으면 설명이라든지 디테일사진이라도 올렸어야죠.. 정말 너무놀랬습니다. 너무 헌옷이에요..흰옷이 회색으로보이네요. 거의 입으면 거지꼴 되는 수준.... 양심껏 파세요 ㅠ	4
38	34	661	생각보다 옷 상태가 너무 좋습니다 감사합니다^^	5
39	5	617	안전하게 잘 보내주셨어요!♥	3
40	30	624	답변 완전 친절하시고 저녁에 입금했는데 다음날 아침에 배송 보내주셨습니당!! 산 것보다 덤이 더 많이 와서 완전 행복🫶 좋은 거래 감사합니다!!❤❤	4
41	2	762	매우 시원시원하게 쿨거래 해주시고 톡 응답도 굉장히 빨리 해주셔서 원활하게 거래 하였습니다 👍	2
42	66	492	안전한 결제 좋았고 배송도 빨랐어요!	4
43	9	374	짱짱..완전 짱짱!!재구매 하고 싶을정도로 만족스러워요..감사합니다❤️	2
44	59	103	감사합니다. 보내주신 물건 잘 받았습니다.	3
45	72	666	좋은가격 좋은물건 ~ 친절한 사장님~너무좋아요~^^ 보내주신 기분좋은선물도 감사드립니다~~ 	4
46	76	2	좋은상품 저렴하게 구매했어요. 배송도 빠르게 보내주셨어요. 행복한하루 보내세요~^^	5
47	77	682	엄마랑 동생 선물로주려고 두개주문했는데 너무좋으시다고 칭찬많이하시네^^ 판매자님도 답변바로바로 친절하게 대응해주시고 좋은제품잘산것같아 기분이 좋네요~ 또 구매할게요^^	5
48	36	1010	좋은상품. 받앗습니다 꼼꼼히. 챙겨주셧더라구요 감사	3
49	78	441	첨 거래였는데 자상하시구 알아서 배려해주시는 매너가 넘 좋았습니다~사업 번창 하세용~~^	4
50	82	834	거래승인되자마자 새벽에 바로 예약해서 송장 보내주시고~ 불안한마음 안들게 잘 이야기하고 대처해주셔서 덕분에 좋은거래했습니다~친절하셔서 참 좋았네요~ 자주 들리겠습니다~번창하세요~^^^^^^^^^^	3
51	33	165	지금껏 거래한 사장님들중 정말 최고네요 ~~ 너무 친절하시고 상품 잘받았습니다 ㅎㅎㅎ 귀찮게 교환까지 다 택배비 내주시고 할인까지 해주시고 최고로 기분좋은 거래였습니다!!	5
52	71	97	옷도 마음에 꼭 들어서 잘 입것어요 따땃한 선물까지 주셔서 추위에 잘 사용하고있네요 감사합니다 추위에 건강하시고 번창하셔요	1
53	86	659	빠르게 배송 해주시고 덤도 주셨어요!ㅠ 감사합니다s2	4
54	20	614	완벽한 쿨거래였습니당! 감사합니다!👍	4
55	64	338	생각했던거보다 훨씬 괜찮아서 깜짝놀랐네요. 빠른배송 친절한 상담 좋네요	2
56	81	686	배송굿ㆍ제품도 굿입니다. 잘쓸게요.수고하세요~	1
57	18	667	잘받았습니다 저렴한 가격에 좋은 물건 판매하셔서 감사드립니다	4
58	32	828	제품이 마음에 듭니다. 대박나세요.^^	3
59	23	136	중고거래 특성상 반신반의하며 구매했는데 믿을수있는 분입니다 좋은거래 감사합니다!	5
60	86	63	친절하시고 입금도 빠르게 해주셨어요! 가방 이쁘게 쓰셔욥 (*´ω`) 	4
61	3	414	빠른 답장 빠르고 꼼꼼한 배송 감사합니다.	3
