no	name	explan
1	나는상점명	
2	상점명35	선입금순 판매합니다. 입금완료후 교환 , 환불은 절대 안되니 신중하게 결정해주세요 반품/교환/환불정책 입금완료후 교환 반품 환불은 절대 안되니 신중하게 결정해주세요 ~ 
3	상점명상점명	구매전 유의사항 계좌 문의만 받을게용
4	상품판매를위한상점명	반품/교환/환불정책 미개봉 신상품의 경우 확인불가능한 공장데미지나 도색미스 같은 하자에 대해서 환불이나 반품 교환 등의 이의를 받지 않습니다.
5	상점명명상점명	
6	상점명과의내적갈등	신중한 선택 후 계좌 받아가세요 매너 있는 거래 합시다.
7	상점명아스톨포	
8	상점명2341	★교환,에눌 안해요★ 물어보는거 싫어합니다 올릴때 충분히 올렸다고 생각합니다 안살거면 연락하지마세요 살것도아니면서 물어보지마세요 제발 교환 환불 안해요 반품/교환/환불정책 교환 환불 절대불가능
9	상점명설정하기기차나	새상품 위주로 판매합니다.
10	상점명없고	교신걸지마세요 반품/교환/환불정책 구매전 꼼꼼히 따져보시고 또 생각해보시고 구매부탁드며 노리턴입다 
11	전부사용중인상점명	1. 무조건 선입금 순입니다. 2. 교환,환불 불가입니다. 3. 한번 거파하시면 바로 차단합니다. 4. 가품 절대 안파니 걱정하지 않으셔도 됩니다. 저보다 후기 적으신 분이랑 교환거래 할 땐, 무조건 제가 먼저 물건 받은 뒤에 보내드려요. 공정 퀄리티(실밥, 자국, 본드자국, 스크래치 등등)에 예민하신 분은 거래를 피해주세요. 공정 퀄리티로 인한 환불, 교환 불가합니다. 반품/교환/환불정책 환불 반품 불가합니다. 
12	상점명오리샵	오리샵 회원님 카드결제 전용 입니다 반품/교환/환불정책 물품의 상태가 큰 부서짐 혹은 뜯어짐의경우 배송완료 일기준 1일이내에 교환이가능합니다
13	상점명55	반품/교환/환불정책 모든 상품은 교환이 불가하며 환불만가능합니다. 환불시 택배비가 첫배송이 무료였을경우 10000원 유료였을경우 5000원이 청구됩니다 구매전 유의사항 구매전!! 상점소개글과 상품소개글을 정독&필독하시고 문의주시거나 구매해주세요!!
14	상점명등록필요하	개인물건입니다. 2개 구매하시면 5천원 할인해드림 + 배송비별도
15	상점명없지말입니다	
16	상점명은상	의류 신발 아이팟가져오고 있습니다 교환(주인장맘) 환불X 반품/교환/환불정책 교환,반품,환불 안됩니다 상세 사진에 하자 참고해주세요 구매전 유의사항 상품 상태 사이즈 잘 확인후 구매 부탁드립니다 
17	이름없는상점명	환불은 힘들어요 신중하게 선택해주세요
18	우라질상점명	
19	상점명을등록등록	
20	상점며이엄써요	교환 환불 안 돼요 택배비 3500원 받아요 계좌 받고 잠수타시면 신고합니다 교신 안해요
21	상점명구앙	반품/교환/환불정책 개인간의 중고거래 특성상 환불 및 교환은 불가합니다. 구매전 유의사항 개인간의 중고거래 특성상 환불 및 교환은 불가합니다.
22	왠상점명	왠만하면 현장거래요 반품/교환/환불정책 교환/환불X
23	상점명을짓질못해	✔️분실시 책임지지 않습니다! 교환, 환불 안됩니다 신중한 거래 부탁드려요🙏 ✔️우체국은 일주일에 두번 갑니다!! 택배는 요일상관없이 당일 발송해 드려요~ (개인사정으로 배송일이 변경 될 수 있습니다) ✔️배송전, 후 챙겨드려요~ 덤 언급xx ✔️상점내 다른 상품과 묶음배송이 가능합니다! ✔️계좌는 카카오뱅크 사용합니다!! (타행문의 no!) 계좌받고 48시간 이내 미입금, 잠수타시면 차단해요💕 반품/교환/환불정책 ╰(*´︶`*)╯♡ 교환, 반품, 환불 불가하니 꼭!!!!x965231 신중하게 거래해 주세요! ^_^ 구매전 유의사항 택배는 편택으로 보내요! 계좌는 농협만 있습니다~
24	상점명별칭등록	두개 이상 구매하시면 제대로 에눌 이것저것 문의 후 읽씹하면 하루 기다리고 차단해요. 안 사도 되니까 구매의사 좀 말해주세요 사람 다 귀찮게 해놓고 씹지마시고 양심적으로^^ ※ 돈없으면 그냥 사지마세요. 진짜 참다참다 공지까지 쓰네요 정말; ※ 어떤 이유에서든 교환 환불 절대X ※ 자세한 부분은 구매 전 먼저 문의하세요. ※ 구매의사 없는데 이것저것 요구하지 마세요 진빠져요
25	상점면안정할래	
26	상점명0428	구매의사 있으신분들만 찜 눌러주세요 제발🙏🏻 실사 먹튀 다 차단함 중고거래 특성상 환불 불가
27	새로운상점명을입력중	모든상품은 미운포가격임 구매나 교환시 중고인만큼 어떤이유든 환불이나교환 불가능 그지도아니고 뭘바까요 ㅋㅋㅋ교신안함
28	상점명이없어용	중고거래상 환불은 안해드립니다 신중하게 결정해주세요~❤️
29	상점명_0	
30	상점명도지어야하나요	거래 전 한번씩 읽어주세요. 🔸공통 본인인증 안 하신 분과는 거래하지 않습니다. 답변 받으시고 잠수 타시는 분들 차단할게요.^^ 계좌/사진 받고 잠수 타시는 분들은 차단&신고 합니다. 문의순x 입금순o 예약 받지 않습니다. 택포문의/네고(에눌)문의 받지 않습니다. 직거래x 🔸번개페이 배송비 협의 후 결제부탁드리며, 바로 결제는 하지 말아주세요. 🔸상품 [미개봉] - 공정상 하자 책임지지 않습니다. - 확실하게 구매하실 분께만 인증샷 드립니다.(즉입가능하신 분) 충분히 고민해보시고 인증샷 요청해주세요. (인증샷 받고 거래파기 시 차단 및 신고) [개봉] - 하자 확인을 위하여 문의주시면 사진 드립니다. - 단순 개봉 및 전시이며 외출x 🔸택배 GS편의점택배/CU편의점택배 이용(10만원 이상 구매시 우체국 가능) - 반값택배 1500원(+a), 일반편택 3500원(부피 무게에 따라 +a) - 제주도는 일반 편택만 가능하며 기본 6000원+a 입금 다음날 택배 접수(주말˙공휴일 접수x) 잘못된 연락처를 알려주시거나, 반값택배 미수령으로 인해 반송되는 경우 절대 책임지지 않습니다.
31	상점명등록안하게해줘	구매전 유의사항 하자가 있는 상품은 판매글과 사진으로 올립니다 (판매글에 하자 관련 언급이 없으면 하자 없음) 판매사진 참고해주시고 구입해주세요 판매글 게시와 동시에 미리 opp비닐 포장을 해두기 때문에 따로 더 인증은 안해드립니다~ 입금후 주로 다음날 바로 택배접수해드립니다 편의점 택배를 주로 사용합니다
32	상점명만들기귀찮다	걍 아무거나 팝니다
33	새로상점명	상점 반품/교환/환불정책 중고 특성상 환불 불가 합니다
34	상점명73734	
35	상점명4368	
36	상점명뭐로해야하지	
37	상점명없어도	
38	상점명필요없음	
39	상점명인자	만족할수 있도록 노력하겠습니다 
40	상점명99	
41	상점명없음1	
42	상점명생각이전혀안남	택포시 3천원 추가되세용 쿨거시 택포 구매전 유의사항 사이즈 색상 확인 후 구매해주세용~
43	새로운상점명14	핸드폰 매장 반품/교환/환불정책 . 구매전 유의사항 .
44	상점명이너무어렵웡	정직한 상점
45	상점명1이름	
46	상점명뭐루하지	환불x 반품/교환/환불정책 중고상품상교환이나환불아니되용
47	상점명정하기어렵다	ㅡ 반품/교환/환불정책 교환 환불안되요
48	독특한상점명	구매전 유의사항 살거 아니면 연락하지 마세요
49	상점명98899	택배 당일발송 해드려요 늦어도 다음날 발송 상품 궁금한거 있으시면 편하게 문의 주세요 몇몇 상품 에눌 조금 가능해요 교신 안받아요 구매한다하고 계좌 받고 잠수타지마세요 반품/교환/환불정책 교환x환불x
50	상점명없는게상점명	
51	상점명을입력하세yo	쿨거래 구매전 유의사항 0
52	상점명321654	반품/교환/환불정책 교환,반품,환불 NO 구매전 유의사항 중고상품 특성상 미쳐 발견하지 못한 오염,보풀등이 존재할수 있습니다. 가만하여 신중한 구매 바라며 예민하시분은 구매하지 마세요~
53	상점명그런거없다없어	
54	상점명147236호	레고 의류 판매합니다. 장기간 잠수 , 비매너 거래, 욕설 등 차단된 분들과는 영구적으로 거래하지 않습니다. 반품/교환/환불정책 중고 거래 특성상 교환 환불 반품 불가합니다 ^^ 구매전 유의사항 판매 설명에 작은 사항 하나 하나 다 기재합니다 꼭 읽고 구매해주시길 바랍니다
55	상점명뭐라고할지고민	
56	상점명할거없다	쿨거시 에눌 가능하니 찔러봐주세요
57	상점명을입력하세유	반품/교환/환불정책 환불반품안됩니다 구매전 유의사항 택배비+3000원입니다~환불반품안돼요
58	상점명을입력하시게	-대부분 새상품만 판매합니다 -제 상점 내 물건 2개 이상 사시면 무료배송입니다 (그 외에는 에눌불가입니다) -안전결제하시면 상품 확인 후 구매확정 바로 부탁드려요 -대화하다가 반나절 이상 잠수타는 분들 차단할게요
59	뉴상점명을입력하세여	
60	상점명은없어영	쿨거조아용 교환환불안되유 님말투가곧내말투임사기치면가만안뒁용ㅎㅎ에눌택포도팍팍양심잇으니믿고거래해오 반품/교환/환불정책 교환환불안댑니당 구매전 유의사항 상품사이즈 색깔 등등잘확인하시고구매해주셰영
61	필요합니다상점명등록	안녕하세요 구매전 유의사항 끝까지 설명읽어주세요 ~
62	상점명뭐하지뭐하냐	
63	상점명을뭐라해용	
64	상점명을입력하	구매전 유의사항 환불 교환 안되셔요~~
65	상점명없으밍	모든 상품밑에 달린 글 잘~ 읽고 톡주세요^^ 중고거래특성상 교환/반품 불가입니다! 모든물품 에눌 가능합니다 반품/교환/환불정책 중고거래 특성상 환불 어려워요^.~ 사진에 꼼꼼하게 찍어두니, 확인후 주문해주세요 감사합니다!!!
66	상점명등록222	
67	상점명뭐어쩌라고	가격 딜 가능(어처구니없는가격사양) 품질보장 교신은 내맘대로 화나게하지말고 서로 매너거래합시다 환불안되니까 다시한번 생각.. 신중히생각하고 거래부탁 배송후 바로송장번호ㄱㄱ 문의는 문자,카톡 (전화는부끄러워잉)
68	상점명할게업서	
69	상점명을입력하세영	존중 받고 싶으면 먼저 존중하세요. 구매 합 5천원 이상만 거래합니다(우편제외). 강요하진 않습니다만 ❤️후기를 먼저 적어주시면 저도 적어드립니다❤️ 우편 안합니다. 되는건 따로 상품설명에 써놓겠습니다. 우편 진상이 많아서 양해부탁드려요. 상식을 벗어난 에눌을 요구하시는 분은 별도의 공지 없이 차단합니다. 구매전 유의사항과 교환 환불 규정 읽어주세요. 반품/교환/환불정책 교환이나 환불은 불가합니다! 구매전 유의사항 제 계좌번호랑 전화번호, 실명 걸고 사기 안칩니다. 새제품이라 하더라도 물건 상태 전부 확인하고 발송합니다. 송장 번호와 택배 상태 전부 사진찍어 보내드립니다. 우편으로 발송하게 될 경우에는 영수증과 포장상태 전부 사진찍어 보냅니다. 택배 분실의 경우는 송장 번호 이용해서 택배사에 직접 문의 부탁드리며, 우편 분실은 본인 집 앞 cctv 확인해주세요. 택배 분실은 제가 어느정도 도와드릴 수 있습니다만, 특히나 우편은 제가 도와드릴 수 있는 부분이 아예 없습니다. 우편으로 구매 하시는 분들은 이점 숙지하시고 분실, 도난, 지연 배송에 대한 책임을 본인이 지겠다는 조건에 동의하신 것으로 간주합니다.
70	상점명아망	교신거실땐 교신가 만원 올라갑니다 제 택배비 또한 부담이구요 되도록이면 현거
71	상점명이미다있대	
